cve,zdi_date,edb_date,published_date,has_reference_to_edb_in_nist
cve-2014-7539,,,2014-10-20,f
cve-2016-10212,,,2017-02-08,f
cve-2016-6250,,,2016-09-21,f
cve-2016-6436,,,2016-10-06,f
cve-2016-0850,,,2016-04-17,f
cve-2016-0911,,,2016-06-19,f
cve-2015-8400,,,2016-01-12,f
cve-2016-0427,,,2016-01-20,f
cve-2016-4826,,,2016-06-25,f
cve-2016-4432,,,2016-06-01,f
cve-2013-2752,,,2013-12-12,f
cve-2016-0285,,,2016-11-24,f
cve-2016-6325,,,2016-10-13,f
cve-2016-0402,,,2016-01-20,f
cve-2016-6391,,,2016-10-05,f
cve-2009-0470,,2009-02-04,2009-02-06,f
cve-2016-6417,,,2016-10-05,f
cve-2016-6420,,,2016-10-05,f
cve-2015-4943,,,2015-12-31,f
cve-2013-0473,,,2013-03-29,f
cve-2012-4585,,,2012-08-22,f
cve-2014-8994,,,2014-11-28,f
cve-2015-0475,,,2015-04-16,f
cve-2016-0418,,,2016-01-20,f
cve-2016-6430,,,2016-11-03,f
cve-2015-0266,,,2016-04-11,f
cve-2016-0211,,,2016-04-27,f
cve-2016-0429,,,2016-01-20,f
cve-2016-1000032,,,2016-10-25,f
cve-2016-1749,2016-03-22,2016-03-23,2016-03-23,f
cve-2013-2800,,,2013-08-21,f
cve-2013-2810,,,2014-12-08,f
cve-2016-10248,,,2017-03-15,f
cve-2013-4436,,,2013-11-05,f
cve-2016-3877,,,2016-09-11,f
cve-2015-5446,,,2016-01-05,f
cve-2016-7052,,,2016-09-26,f
cve-2016-1000120,,,2016-10-27,f
cve-2015-6019,,,2015-12-30,f
cve-2016-5340,,,2016-08-07,f
cve-2014-7280,,2014-10-09,2014-10-21,t
cve-2010-4522,,,2010-12-30,f
cve-2016-10249,,,2017-03-15,f
cve-2016-7571,,,2016-10-03,f
cve-2016-3913,,,2016-10-10,f
cve-2016-8577,,,2016-11-04,f
cve-2016-8503,,,2016-10-26,f
cve-2016-5105,,,2016-09-02,f
cve-2012-4067,,,2013-09-16,f
cve-2015-7578,,,2016-02-15,f
cve-2016-6344,,,2016-09-07,f
cve-2016-7863,2016-11-08,,2016-11-08,f
cve-2015-0638,,,2015-03-26,f
cve-2016-0562,,,2016-01-20,f
cve-2016-0455,,,2016-01-20,f
cve-2016-7864,2016-11-08,,2016-11-08,f
cve-2016-0556,,,2016-01-20,f
cve-2016-6454,,,2016-11-03,f
cve-2012-0902,,,2012-01-20,t
cve-2012-0668,2012-06-06,,2012-05-15,f
cve-2010-0220,,,2010-01-07,f
cve-2016-3222,2016-06-22,,2016-06-15,t
cve-2016-6366,,,2016-08-18,t
cve-2016-1819,,2016-06-10,2016-05-20,t
cve-2016-1793,,2016-06-10,2016-05-20,t
cve-2013-2850,,,2013-06-07,f
cve-2013-2854,,,2013-06-04,f
cve-2013-2898,,,2013-09-13,f
cve-2013-2959,,,2013-05-27,f
cve-2017-6205,,,2017-02-23,f
cve-2015-0703,,,2015-04-20,f
cve-2016-2389,,,2016-02-16,t
cve-2013-4312,,,2016-02-07,f
cve-2014-4168,,,2014-07-03,f
cve-2010-2729,,2011-02-17,2010-09-15,f
cve-2013-3400,,,2013-07-10,f
cve-2009-1565,,,2010-04-12,f
cve-2009-3035,,,2010-02-02,f
cve-2009-4184,,,2010-02-03,f
cve-2012-2549,,,2012-12-11,f
cve-2012-4275,,,2012-08-13,f
cve-2010-0020,,,2010-02-10,f
cve-2013-3009,,,2013-07-23,f
cve-2017-6206,,,2017-02-23,f
cve-2016-6405,,,2016-09-18,f
cve-2015-0644,,,2015-03-26,f
cve-2017-6209,,,2017-03-15,f
cve-2010-0024,,,2010-04-14,f
cve-2016-2107,,2016-05-04,2016-05-04,t
cve-2013-3043,,,2013-12-14,f
cve-2013-3051,,,2013-04-13,f
cve-2013-3056,,,2013-05-03,f
cve-2013-3075,,2013-03-25,2013-04-19,t
cve-2014-4372,,,2014-09-18,f
cve-2015-5994,,,2015-12-30,f
cve-2016-4040,,,2016-04-19,f
cve-2010-0034,,,2010-02-10,f
cve-2010-0036,,,2010-01-20,f
cve-2010-0040,,,2010-03-12,f
cve-2010-0059,2010-04-02,,2010-03-30,f
cve-2013-3190,,,2013-08-14,f
cve-2016-10250,,,2017-03-15,f
cve-2014-3496,,,2014-06-20,f
cve-2013-7323,,,2014-06-09,f
cve-2010-0087,,,2010-04-01,f
cve-2012-2140,,,2012-07-18,f
cve-2016-9149,,,2016-11-19,f
cve-2016-0603,,,2016-02-08,f
cve-2014-9886,,,2016-08-06,f
cve-2016-6428,,,2016-10-06,f
cve-2016-0672,,,2016-04-21,f
cve-2016-0682,,,2016-04-21,f
cve-2016-0760,,,2016-08-19,f
cve-2015-8510,,,2016-01-08,f
cve-2015-4946,,,2016-01-02,f
cve-2013-3194,2013-08-13,,2013-08-14,f
cve-2016-0799,,,2016-03-03,f
