cve,zdi_date,edb_date,published_date,has_reference_to_edb_in_nist
cve-2016-7863,2016-11-08,,2016-11-08,f
cve-2016-7864,2016-11-08,,2016-11-08,f
cve-2016-3222,2016-06-22,,2016-06-15,t
cve-2015-1698,,,2015-05-13,f
cve-2015-6127,,2015-12-09,2015-12-09,f
cve-2015-6142,2015-12-08,,2015-12-09,f
cve-2015-5113,2015-07-14,,2015-07-15,f
cve-2015-1737,,,2015-06-09,f
cve-2015-6124,,,2015-12-09,f
cve-2015-0314,2015-02-10,,2015-02-05,f
cve-2015-1064,,,2015-03-12,f
cve-2015-1061,,,2015-03-12,f
cve-2015-1660,2015-04-15,,2015-04-14,f
cve-2015-1681,2015-05-12,,2015-05-13,f
cve-2015-1691,,,2015-05-13,f
cve-2015-1710,,,2015-05-13,f
cve-2015-1718,,,2015-05-13,f
cve-2015-2447,,,2015-08-14,f
cve-2015-3085,2015-05-12,,2015-05-13,f
cve-2015-3374,,,2015-04-21,f
cve-2015-5564,,,2015-08-13,f
cve-2015-6096,,,2015-11-11,f
cve-2015-6294,,,2015-09-18,f
cve-2016-5368,,,2016-06-30,f
cve-2016-3297,,,2016-09-14,f
cve-2016-3687,,,2016-06-16,f
cve-2016-7246,2016-11-08,,2016-11-10,f
cve-2016-4131,,,2016-06-16,f
cve-2016-4134,,,2016-06-16,f
cve-2016-4280,,,2016-09-14,f
cve-2016-1316,,,2016-02-08,f
cve-2015-1650,2015-04-15,,2015-04-14,f
cve-2016-1737,,,2016-03-23,f
cve-2016-2201,,,2016-02-08,f
cve-2015-2514,,,2015-09-08,f
cve-2016-3210,,,2016-06-15,f
cve-2016-8805,,2016-10-31,2016-11-08,f
cve-2015-5147,,,2015-07-14,f
cve-2015-1689,,,2015-05-13,f
cve-2016-3656,,,2016-04-12,f
cve-2016-4121,,,2016-06-16,f
cve-2016-4155,,,2016-06-16,f
cve-2016-4251,2016-07-12,,2016-07-12,f
cve-2016-4252,,,2016-07-12,f
cve-2016-4274,,,2016-09-14,f
cve-2016-5304,,,2016-06-30,f
cve-2016-7193,,,2016-10-13,f
cve-2016-5231,,,2016-06-30,f
cve-2016-0174,2016-05-10,,2016-05-10,f
cve-2016-3315,,,2016-08-09,f
cve-2016-3292,2016-09-16,,2016-09-14,f
cve-2016-7255,,,2016-11-10,t
cve-2016-7217,,,2016-11-10,f
cve-2016-0015,,2016-01-13,2016-01-12,t
cve-2016-7242,,,2016-11-10,f
cve-2015-2545,,,2015-09-08,f
cve-2015-3293,,,2015-04-14,f
cve-2015-0078,,,2015-03-11,f
cve-2015-0326,,,2015-02-05,f
cve-2015-2388,2015-07-14,,2015-07-14,f
cve-2015-1383,,,2015-02-02,f
cve-2015-1649,,,2015-04-14,f
cve-2015-1686,,,2015-05-13,f
cve-2015-1687,,,2015-06-09,f
cve-2015-1735,2015-06-11,,2015-06-09,f
cve-2015-1744,,,2015-06-09,f
cve-2015-6064,2015-11-10,,2015-11-11,f
cve-2015-6093,2015-11-10,,2015-11-11,f
cve-2015-6160,2015-12-08,,2015-12-09,f
cve-2015-3043,,2015-07-08,2015-04-14,f
cve-2016-0075,,2016-10-18,2016-10-13,f
cve-2016-0079,,2016-10-20,2016-10-13,f
cve-2015-2525,,2015-09-15,2015-09-08,f
cve-2015-0338,,,2015-03-13,f
cve-2015-2483,,,2015-09-08,f
cve-2016-7208,,,2016-11-10,f
cve-2016-7872,,,2016-12-15,f
cve-2016-2207,,2016-06-29,2016-06-30,f
cve-2016-0148,2016-04-12,,2016-04-12,f
cve-2016-3298,,,2016-10-13,f
cve-2016-3240,,,2016-07-12,f
cve-2016-4120,,,2016-06-16,f
cve-2016-4133,,,2016-06-16,f
cve-2016-7862,2016-11-08,,2016-11-08,f
cve-2016-0099,,2016-03-21,2016-03-09,t
cve-2016-0728,,,2016-02-07,t
cve-2016-7190,,2016-10-20,2016-10-13,f
cve-2016-7232,,,2016-11-10,f
cve-2016-1017,2016-04-08,,2016-04-08,f
cve-2016-4271,,,2016-09-14,f
cve-2015-1724,,2015-09-22,2015-06-09,f
cve-2015-1748,2015-06-11,,2015-06-09,f
cve-2015-1752,,,2015-06-09,f
cve-2016-4071,,,2016-05-20,f
cve-2016-9757,,,2016-12-20,f
cve-2015-0339,,,2015-03-13,f
cve-2015-2499,2015-09-08,,2015-09-08,f
cve-2015-3079,,,2015-05-13,f
cve-2015-3096,,,2015-06-09,f
cve-2015-3065,2015-05-12,,2015-05-13,f
cve-2015-7657,2015-11-10,,2015-11-11,f
cve-2015-1513,,,2015-02-06,f
cve-2015-0321,,,2015-02-05,f
cve-2015-0312,,,2015-01-28,f
cve-2015-1720,,,2015-06-09,f
cve-2015-1758,,,2015-06-09,f
cve-2015-5539,,2015-08-19,2015-08-13,f
cve-2015-6078,,,2015-11-11,f
cve-2015-6134,2015-12-08,,2015-12-09,f
cve-2015-1685,,,2015-05-13,f
cve-2016-7860,2016-11-08,,2016-11-08,f
cve-2016-3189,,,2016-06-30,f
cve-2015-6075,2015-11-10,,2015-11-11,f
cve-2016-3199,2016-06-16,,2016-06-15,f
cve-2016-3259,,,2016-07-12,f
cve-2016-3264,2016-07-12,,2016-07-12,f
cve-2016-3324,,2016-11-10,2016-09-14,f
cve-2016-7213,,,2016-11-10,f
cve-2016-0098,,,2016-03-09,f
cve-2016-0155,,,2016-04-12,f
cve-2016-0176,2016-05-10,,2016-05-10,f
cve-2016-0170,,2016-05-17,2016-05-10,f
cve-2016-3277,,,2016-07-12,f
cve-2016-3963,,,2016-04-08,f
cve-2016-4123,,,2016-06-16,f
cve-2016-4135,,2016-07-11,2016-06-16,f
cve-2016-4178,,,2016-07-12,f
cve-2016-4176,,2016-07-13,2016-07-12,f
cve-2015-2528,,2015-09-15,2015-09-08,f
cve-2015-2425,,,2015-07-14,f
cve-2016-4282,,,2016-09-14,f
cve-2016-4171,,,2016-06-16,f
cve-2016-0034,,,2016-01-12,f
cve-2016-1057,2016-05-10,,2016-05-11,f
cve-2016-7191,,,2016-09-28,f
cve-2016-7198,,,2016-11-10,f
cve-2016-7212,,,2016-11-10,f
cve-2015-1302,,,2015-11-11,f
cve-2015-8808,,,2016-07-13,f
cve-2015-1705,,,2015-05-13,f
cve-2015-1751,,,2015-06-09,f
cve-2015-1200,,,2015-01-23,f
cve-2015-1711,,,2015-05-13,f
cve-2015-1732,,,2015-06-09,f
cve-2015-1766,,,2015-06-09,f
cve-2015-1979,,,2015-07-19,f
cve-2015-7656,2015-11-10,,2015-11-11,f
cve-2015-7629,2015-10-13,,2015-10-14,f
cve-2015-1211,,,2015-02-06,f
cve-2015-7631,2015-10-13,,2015-10-14,f
cve-2015-7632,2015-10-13,,2015-10-14,f
cve-2015-7654,2015-11-10,,2015-11-11,f
cve-2015-7663,,,2015-11-11,f
cve-2015-5122,,2015-07-13,2015-07-14,t
cve-2015-1730,,2016-12-06,2015-06-09,t
cve-2015-1722,,2015-09-22,2015-06-09,f
cve-2015-0330,,,2015-02-05,f
cve-2015-1731,,,2015-06-09,f
cve-2015-1755,2015-06-11,,2015-06-09,f
