CVE,Website Name,Disclosed Date
CVE-2006-2370,Symantec,
CVE-2011-3402,Symantec,
CVE-2015-0235,Symantec,
CVE-2015-0336,Symantec,2015-03-20
CVE-2016-9565,Symantec,
CVE-2017-0199,Symantec,
CVE-2009-2990,Symantec,
CVE-2007-0071,Symantec,
CVE-2014-6332,Symantec,2014-11-12
CVE-2016-4171,Symantec,2016-06-15
CVE-2006-6134,Symantec,
CVE-2006-3845,Symantec,
CVE-2010-1870,Symantec,
CVE-2006-0003,Symantec,
CVE-2010-1961,Symantec,
CVE-2008-2639,Symantec,
CVE-2014-3120,Symantec,
CVE-2007-1750,Symantec,
CVE-2015-7755,Symantec,
CVE-2017-9828,Symantec,
CVE-2015-3043,Symantec,2015-05-06
CVE-2016-3078,Symantec,
CVE-2015-1397,Symantec,
CVE-2012-5076,Symantec,
CVE-2013-2729,Symantec,
CVE-2016-3351,Symantec,2016-09-02
CVE-2001-0550,Symantec,
CVE-2011-2462,Symantec,
CVE-2006-2766,Symantec,
CVE-2010-3962,Symantec,
CVE-2007-3039,Symantec,
CVE-2010-2861,Symantec,
CVE-2007-6026,Symantec,
CVE-2012-1856,Symantec,
CVE-2013-3893,Symantec,
CVE-2014-6278,Symantec,
CVE-2007-0033,Symantec,
CVE-2015-5119,Symantec,2015-07-09
CVE-2013-3897,Symantec,
CVE-2007-0034,Symantec,
CVE-2014-6271,Symantec,
CVE-2014-9583,Symantec,
CVE-2014-1776,Symantec,
CVE-2017-0037,Symantec,2017-03-01
CVE-2010-1527,Symantec,
CVE-2015-0204,Symantec,
CVE-2016-7855,Symantec,2016-10-27
CVE-2013-0640,Symantec,
CVE-2012-0002,Symantec,
CVE-2012-0003,Symantec,
CVE-2012-0779,Symantec,
CVE-2011-3544,Symantec,
CVE-2010-2884,Symantec,
CVE-2016-6329,Symantec,
CVE-2017-8496,Symantec,2017-06-28
CVE-2007-2218,Symantec,
CVE-2007-6166,Symantec,
CVE-2006-3440,Symantec,
CVE-2013-1493,Symantec,
CVE-2016-9079,Symantec,
CVE-2012-1875,Symantec,
CVE-2014-3704,Symantec,
CVE-2006-2630,Symantec,
CVE-2014-1510,Symantec,
CVE-2015-3105,Symantec,
CVE-2013-0422,Symantec,
CVE-2017-8464,Symantec,2017-06-28
CVE-2013-0758,Symantec,
CVE-2013-0753,Symantec,
CVE-2013-1331,Symantec,
CVE-2016-2183,Symantec,
CVE-2014-8967,Symantec,2015-01-02
CVE-2014-8440,Symantec,2014-11-30
CVE-2007-3896,Symantec,
CVE-2009-1136,Symantec,
CVE-2015-1486,Symantec,
CVE-2015-1487,Symantec,
CVE-2017-0261,Symantec,2017-05-11
CVE-2014-1649,Symantec,
CVE-2010-2729,Symantec,
CVE-2007-0064,Symantec,
CVE-2016-1019,Symantec,2016-04-07
CVE-2010-1964,Symantec,
CVE-2017-8917,Symantec,
CVE-2016-6366,Symantec,
CVE-2013-3238,Symantec,
CVE-2016-8870,Symantec,
CVE-2007-1748,Symantec,
CVE-2013-1690,Symantec,
CVE-2013-3934,Symantec,
CVE-2011-2371,Symantec,
CVE-2016-7892,Symantec,2016-12-18
CVE-2013-7331,Symantec,
CVE-2012-4792,Symantec,
CVE-2007-2244,Symantec,
CVE-2015-2419,Symantec,
CVE-2016-3298,Symantec,2016-10-13
CVE-2016-6662,Symantec,
CVE-2016-3294,Symantec,2016-09-02
CVE-2016-3295,Symantec,2016-09-01
CVE-2014-0160,Symantec,
CVE-2011-3478,Symantec,
CVE-2010-0886,Symantec,
CVE-2014-0497,Symantec,
CVE-2012-2329,Symantec,
CVE-2011-0257,Symantec,
CVE-2007-3750,Symantec,
CVE-2015-3090,Symantec,
CVE-2006-0058,Symantec,
CVE-2013-1347,Symantec,
CVE-2007-0024,Symantec,
CVE-2011-1260,Symantec,
CVE-2014-1761,Symantec,
CVE-2015-1427,Symantec,
CVE-2010-1885,Symantec,
CVE-2016-0752,Symantec,
CVE-2013-6877,Symantec,
CVE-2015-0359,Symantec,
CVE-2009-3103,Symantec,
CVE-2012-0158,Symantec,
CVE-2016-4117,Symantec,2016-05-13
CVE-2006-3439,Symantec,
CVE-2012-0663,Symantec,
CVE-2017-6334,Symantec,
CVE-2013-0025,Symantec,
CVE-2012-1723,Symantec,
CVE-2009-0927,Symantec,
CVE-2017-7494,Symantec,
CVE-2017-8540,Symantec,
CVE-2016-3717,Symantec,
CVE-2016-3716,Symantec,
CVE-2016-3715,Symantec,
CVE-2016-3714,Symantec,
CVE-2010-3552,Symantec,
CVE-2013-3906,Symantec,
CVE-2013-1488,Symantec,
CVE-2014-0502,Symantec,
CVE-2014-9222,Symantec,
CVE-2013-1710,Symantec,
CVE-2012-1182,Symantec,
CVE-2014-0515,Symantec,
CVE-2016-3375,Symantec,2016-09-02
CVE-2012-1535,Symantec,
CVE-2017-5689,Symantec,
CVE-2012-1823,Symantec,
CVE-2015-3113,Symantec,2015-06-30
CVE-2014-0195,Symantec,
CVE-2013-0431,Symantec,
CVE-2011-2110,Symantec,
CVE-2015-0311,Symantec,2015-02-05
CVE-2010-0840,Symantec,
CVE-2015-0318,Symantec,
CVE-2009-1129,Symantec,
CVE-2017-6326,Symantec,
CVE-2010-2738,Symantec,
CVE-2006-1314,Symantec,
CVE-2007-5020,Symantec,
CVE-2014-6352,Symantec,2014-11-29
CVE-2012-0507,Symantec,
CVE-2012-0500,Symantec,
CVE-2001-0797,Symantec,
CVE-2011-0611,Symantec,
CVE-2014-2299,Symantec,
CVE-2012-0754,Symantec,
CVE-2015-5122,Symantec,2015-07-11
CVE-2014-6287,Symantec,
CVE-2012-5159,Symantec,
CVE-2013-0156,Symantec,
CVE-2015-8651,Symantec,2015-12-28
CVE-2011-0609,Symantec,
CVE-2013-2465,Symantec,
CVE-2015-2545,Symantec,2016-05-31
CVE-2013-2463,Symantec,
CVE-2014-3888,Symantec,
CVE-2014-0094,Symantec,
CVE-2010-4452,Symantec,
CVE-2013-5838,Symantec,2016-03-15
CVE-2010-0248,Symantec,
