index,cve,type,date
0,cve-2013-3874,Other,10/2/2013
1,cve-2013-3875,Other,10/4/2013
2,cve-2013-3885,Other,10/4/2013
3,cve-2013-3886,Other,10/8/2013
4,cve-2013-3910,Other,7/30/2014
5,cve-2013-3911,Other,10/31/2013
6,cve-2013-3912,Other,10/31/2013
7,cve-2013-3914,Other,11/1/2013
8,cve-2013-3916,Other,11/1/2013
9,cve-2013-5838,Trojan,3/15/2016
10,cve-2014-0546,Other,8/22/2014
11,cve-2014-0565,Other,10/20/2014
12,cve-2014-0569,,10/24/2014
13,cve-2014-0577,Trojan,11/30/2014
14,cve-2014-0588,Trojan,11/30/2014
15,cve-2014-1762,Trojan,5/28/2014
16,cve-2014-1765,Other,7/3/2014
17,cve-2014-1785,Trojan,5/29/2014
18,cve-2014-1805,Trojan,6/26/2014
19,cve-2014-1815,Trojan,5/14/2014
20,cve-2014-2797,Other,7/2/2014
21,cve-2014-2801,Other,7/2/2014
22,cve-2014-2804,Other,7/3/2014
23,cve-2014-2820,Other,8/19/2014
24,cve-2014-2823,Other,8/19/2014
25,cve-2014-4057,Other,8/19/2014
26,cve-2014-4114,Other,10/14/2014
27,cve-2014-4148,,10/28/2014
28,cve-2014-6327,Trojan,1/2/2015
29,cve-2014-6330,Trojan,1/2/2015
30,cve-2014-6332,,11/12/2014
31,cve-2014-6352,Trojan,11/29/2014
32,cve-2014-6366,Trojan,1/2/2015
33,cve-2014-6369,Trojan,1/2/2015
34,cve-2014-6373,Trojan,1/2/2015
35,cve-2014-6376,Trojan,1/2/2015
36,cve-2014-7247,,11/6/2014
37,cve-2014-8440,Trojan,11/30/2014
38,cve-2014-8448,Trojan,1/14/2015
39,cve-2014-8451,Trojan,1/14/2015
40,cve-2014-8966,Trojan,1/2/2015
41,cve-2014-8967,Trojan,1/2/2015
42,cve-2014-9163,Trojan,1/14/2015
43,cve-2015-0097,Trojan,3/11/2015
44,cve-2015-0310,Trojan,2/10/2015
45,cve-2015-0311,Trojan,2/5/2015
46,cve-2015-0312,Trojan,2/11/2015
47,cve-2015-0313,Trojan,2/11/2015
48,cve-2015-0314,Trojan,3/5/2015
49,cve-2015-0323,Trojan,3/27/2015
50,cve-2015-0325,Trojan,3/27/2015
51,cve-2015-0326,Trojan,3/27/2015
52,cve-2015-0328,Trojan,3/27/2015
53,cve-2015-0330,Trojan,3/4/2015
54,cve-2015-0336,Trojan,3/20/2015
55,cve-2015-0338,Trojan,8/3/2015
56,cve-2015-0339,Trojan,8/3/2015
57,cve-2015-1635,Trojan,8/4/2015
58,cve-2015-1641,Trojan,4/28/2015
59,cve-2015-1649,Trojan,4/28/2015
60,cve-2015-1650,Trojan,4/28/2015
61,cve-2015-1651,Trojan,4/28/2015
62,cve-2015-1657,Trojan,4/28/2015
63,cve-2015-1660,Trojan,4/28/2015
64,cve-2015-1665,Trojan,4/28/2015
65,cve-2015-1681,Trojan,5/28/2015
66,cve-2015-1685,Trojan,5/28/2015
67,cve-2015-1686,Trojan,5/28/2015
68,cve-2015-1687,Trojan,8/4/2015
69,cve-2015-1689,Trojan,5/28/2015
70,cve-2015-1691,Trojan,5/28/2015
71,cve-2015-1701,Trojan,4/22/2015
72,cve-2015-1705,Trojan,5/28/2015
73,cve-2015-1708,Trojan,5/28/2015
74,cve-2015-1710,Trojan,5/28/2015
75,cve-2015-1711,Trojan,5/28/2015
76,cve-2015-1718,Trojan,5/28/2015
77,cve-2015-1730,Trojan,8/4/2015
78,cve-2015-1732,Trojan,8/4/2015
79,cve-2015-1735,Trojan,8/4/2015
80,cve-2015-1736,Trojan,8/4/2015
81,cve-2015-1737,Trojan,8/4/2015
82,cve-2015-1744,Trojan,8/4/2015
83,cve-2015-1747,Trojan,8/4/2015
84,cve-2015-1748,Trojan,8/4/2015
85,cve-2015-1750,Trojan,8/4/2015
86,cve-2015-1752,Trojan,8/4/2015
87,cve-2015-1755,Trojan,8/4/2015
88,cve-2015-2425,Trojan,7/20/2015
89,cve-2015-2426,Trojan,7/21/2015
90,cve-2015-2442,Trojan,9/17/2015
91,cve-2015-2443,Trojan,9/17/2015
92,cve-2015-2452,Trojan,9/17/2015
93,cve-2015-2483,Trojan,11/23/2015
94,cve-2015-2499,Trojan,11/23/2015
95,cve-2015-2501,Trojan,11/23/2015
96,cve-2015-2545,Trojan,5/31/2016
97,cve-2015-2590,Trojan,7/30/2015
98,cve-2015-3043,Trojan,5/6/2015
99,cve-2015-3113,Trojan,6/30/2015
100,cve-2015-4451,Trojan,9/29/2015
101,cve-2015-5119,Trojan,7/9/2015
102,cve-2015-5122,Trojan,7/11/2015
103,cve-2015-5123,Trojan,7/13/2015
104,cve-2015-5130,Trojan,9/29/2015
105,cve-2015-5134,Trojan,9/29/2015
106,cve-2015-5539,Trojan,9/29/2015
107,cve-2015-5876,Trojan,10/30/2015
108,cve-2015-6064,Trojan,11/17/2015
109,cve-2015-6071,Trojan,11/17/2015
110,cve-2015-6075,Trojan,11/17/2015
111,cve-2015-6078,Trojan,11/12/2015
112,cve-2015-6096,Trojan,11/17/2015
113,cve-2015-6124,Trojan,12/9/2015
114,cve-2015-6127,Trojan,12/28/2015
115,cve-2015-6142,Trojan,12/28/2015
116,cve-2015-7629,Trojan,11/23/2015
117,cve-2015-7631,Trojan,11/23/2015
118,cve-2015-7632,Trojan,11/23/2015
119,cve-2015-7633,Trojan,11/23/2015
120,cve-2015-7645,Trojan,10/17/2015
121,cve-2015-7652,Trojan,12/27/2015
122,cve-2015-7653,Trojan,12/27/2015
123,cve-2015-7654,Trojan,12/27/2015
124,cve-2015-7657,Trojan,12/27/2015
125,cve-2015-8418,Trojan,12/27/2015
126,cve-2015-8651,Trojan,12/28/2015
127,cve-2016-0015,Trojan,1/22/2016
128,cve-2016-0021,Trojan,3/18/2016
129,cve-2016-0022,Trojan,2/17/2016
130,cve-2016-0034,Trojan,1/14/2016
131,cve-2016-0053,Trojan,2/18/2016
132,cve-2016-0063,Trojan,2/17/2016
133,cve-2016-0105,Trojan,3/18/2016
134,cve-2016-0112,Trojan,3/18/2016
135,cve-2016-0113,Trojan,3/18/2016
136,cve-2016-0124,Trojan,3/18/2016
137,cve-2016-0127,Trojan,4/24/2016
138,cve-2016-0147,Trojan,4/24/2016
139,cve-2016-0155,Trojan,4/19/2016
140,cve-2016-0157,Trojan,4/14/2016
141,cve-2016-0158,Trojan,4/14/2016
142,cve-2016-0164,Trojan,4/19/2016
143,cve-2016-0174,Trojan,6/10/2016
144,cve-2016-0176,Trojan,6/10/2016
145,cve-2016-0189,Trojan,6/10/2016
146,cve-2016-0191,Trojan,6/10/2016
147,cve-2016-0193,Trojan,6/10/2016
148,cve-2016-0196,Trojan,6/11/2016
149,cve-2016-0199,Trojan,10/10/2016
150,cve-2016-0200,Trojan,6/27/2016
151,cve-2016-0728,Other,2/14/2016
152,cve-2016-1010,Trojan,3/12/2016
153,cve-2016-1015,Trojan,5/9/2016
154,cve-2016-1016,Trojan,5/9/2016
155,cve-2016-1017,Trojan,5/9/2016
156,cve-2016-1019,Trojan,4/7/2016
157,cve-2016-1757,Trojan,3/25/2016
158,cve-2016-2207,Trojan,6/28/2016
159,cve-2016-2208,Trojan,6/30/2016
160,cve-2016-2209,Trojan,6/28/2016
161,cve-2016-2210,Trojan,6/28/2016
162,cve-2016-2211,Trojan,6/27/2016
163,cve-2016-2347,Trojan,4/26/2016
164,cve-2016-3199,Trojan,6/12/2016
165,cve-2016-3205,Trojan,6/17/2016
166,cve-2016-3206,Trojan,6/17/2016
167,cve-2016-3207,Trojan,6/17/2016
168,cve-2016-3210,Trojan,6/12/2016
169,cve-2016-3222,Trojan,6/12/2016
170,cve-2016-3233,Trojan,6/17/2016
171,cve-2016-3240,Trojan,7/25/2016
172,cve-2016-3242,Trojan,7/25/2016
173,cve-2016-3244,Trojan,7/27/2016
174,cve-2016-3247,Trojan,9/2/2016
175,cve-2016-3259,Trojan,7/26/2016
176,cve-2016-3261,Trojan,7/25/2016
177,cve-2016-3264,Trojan,7/27/2016
178,cve-2016-3277,Trojan,7/26/2016
179,cve-2016-3293,Trojan,8/17/2016
180,cve-2016-3294,Trojan,9/2/2016
181,cve-2016-3295,Trojan,9/1/2016
182,cve-2016-3297,Trojan,9/2/2016
183,cve-2016-3298,Trojan,10/13/2016
184,cve-2016-3304,Trojan,8/11/2016
185,cve-2016-3324,Trojan,9/2/2016
186,cve-2016-3351,Trojan,9/2/2016
187,cve-2016-3375,Trojan,9/2/2016
188,cve-2016-3377,Trojan,9/2/2016
189,cve-2016-3382,Trojan,10/13/2016
190,cve-2016-3383,Trojan,10/13/2016
191,cve-2016-3385,Trojan,10/13/2016
192,cve-2016-3644,Trojan,6/28/2016
193,cve-2016-3645,Trojan,6/28/2016
194,cve-2016-3646,Trojan,6/29/2016
195,cve-2016-4117,Trojan,5/13/2016
