cve,zdi_date,edb_date,published_date,has_reference_to_edb_in_nist
cve-2014-7539,,,10/20/2014,f
cve-2016-10212,,,2/8/2017,f
cve-2016-6250,,,9/21/2016,f
cve-2016-6436,,,10/6/2016,f
cve-2016-0850,,,4/17/2016,f
cve-2016-0911,,,6/19/2016,f
cve-2015-8400,,,1/12/2016,f
cve-2016-0427,,,1/20/2016,f
cve-2016-4826,,,6/25/2016,f
cve-2016-4432,,,6/1/2016,f
cve-2013-2752,,,12/12/2013,f
cve-2016-0285,,,11/24/2016,f
cve-2016-6325,,,10/13/2016,f
cve-2016-0402,,,1/20/2016,f
cve-2016-6391,,,10/5/2016,f
cve-2009-0470,,2/4/2009,2/6/2009,f
cve-2016-6417,,,10/5/2016,f
cve-2016-6420,,,10/5/2016,f
cve-2015-4943,,,12/31/2015,f
cve-2013-0473,,,3/29/2013,f
cve-2012-4585,,,8/22/2012,f
cve-2014-8994,,,11/28/2014,f
cve-2015-0475,,,4/16/2015,f
cve-2016-0418,,,1/20/2016,f
cve-2016-6430,,,11/3/2016,f
cve-2015-0266,,,4/11/2016,f
cve-2016-0211,,,4/27/2016,f
cve-2016-0429,,,1/20/2016,f
cve-2016-1000032,,,10/25/2016,f
cve-2016-1749,3/22/2016,3/23/2016,3/23/2016,f
cve-2013-2800,,,8/21/2013,f
cve-2013-2810,,,12/8/2014,f
cve-2016-10248,,,3/15/2017,f
cve-2013-4436,,,11/5/2013,f
cve-2016-3877,,,9/11/2016,f
cve-2015-5446,,,1/5/2016,f
cve-2016-7052,,,9/26/2016,f
cve-2016-1000120,,,10/27/2016,f
cve-2015-6019,,,12/30/2015,f
cve-2016-5340,,,8/7/2016,f
cve-2014-7280,,10/9/2014,10/21/2014,t
cve-2010-4522,,,12/30/2010,f
cve-2016-10249,,,3/15/2017,f
cve-2016-7571,,,10/3/2016,f
cve-2016-3913,,,10/10/2016,f
cve-2016-8577,,,11/4/2016,f
cve-2016-8503,,,10/26/2016,f
cve-2016-5105,,,9/2/2016,f
cve-2012-4067,,,9/16/2013,f
cve-2015-7578,,,2/15/2016,f
cve-2016-6344,,,9/7/2016,f
cve-2016-7863,11/8/2016,,11/8/2016,f
cve-2015-0638,,,3/26/2015,f
cve-2016-0562,,,1/20/2016,f
cve-2016-0455,,,1/20/2016,f
cve-2016-7864,11/8/2016,,11/8/2016,f
cve-2016-0556,,,1/20/2016,f
cve-2016-6454,,,11/3/2016,f
cve-2012-0902,,,1/20/2012,t
cve-2012-0668,6/6/2012,,5/15/2012,f
cve-2010-0220,,,1/7/2010,f
cve-2016-3222,6/22/2016,,6/15/2016,t
cve-2016-6366,,,8/18/2016,t
cve-2016-1819,,6/10/2016,5/20/2016,t
cve-2016-1793,,6/10/2016,5/20/2016,t
cve-2013-2850,,,6/7/2013,f
cve-2013-2854,,,6/4/2013,f
cve-2013-2898,,,9/13/2013,f
cve-2013-2959,,,5/27/2013,f
cve-2017-6205,,,2/23/2017,f
cve-2015-0703,,,4/20/2015,f
cve-2016-2389,,,2/16/2016,t
cve-2013-4312,,,2/7/2016,f
cve-2014-4168,,,7/3/2014,f
cve-2010-2729,,2/17/2011,9/15/2010,f
cve-2013-3400,,,7/10/2013,f
cve-2009-1565,,,4/12/2010,f
cve-2009-3035,,,2/2/2010,f
cve-2009-4184,,,2/3/2010,f
cve-2012-2549,,,12/11/2012,f
cve-2012-4275,,,8/13/2012,f
cve-2010-0020,,,2/10/2010,f
cve-2013-3009,,,7/23/2013,f
cve-2017-6206,,,2/23/2017,f
cve-2016-6405,,,9/18/2016,f
cve-2015-0644,,,3/26/2015,f
cve-2017-6209,,,3/15/2017,f
cve-2010-0024,,,4/14/2010,f
cve-2016-2107,,5/4/2016,5/4/2016,t
cve-2013-3043,,,12/14/2013,f
cve-2013-3051,,,4/13/2013,f
cve-2013-3056,,,5/3/2013,f
cve-2013-3075,,3/25/2013,4/19/2013,t
cve-2014-4372,,,9/18/2014,f
cve-2015-5994,,,12/30/2015,f
cve-2016-4040,,,4/19/2016,f
cve-2010-0034,,,2/10/2010,f
cve-2010-0036,,,1/20/2010,f
cve-2010-0040,,,3/12/2010,f
cve-2010-0059,4/2/2010,,3/30/2010,f
cve-2013-3190,,,8/14/2013,f
cve-2016-10250,,,3/15/2017,f
cve-2014-3496,,,6/20/2014,f
cve-2013-7323,,,6/9/2014,f
cve-2010-0087,,,4/1/2010,f
cve-2012-2140,,,7/18/2012,f
cve-2016-9149,,,11/19/2016,f
cve-2016-0603,,,2/8/2016,f
cve-2014-9886,,,8/6/2016,f
cve-2016-6428,,,10/6/2016,f
cve-2016-0672,,,4/21/2016,f
cve-2016-0682,,,4/21/2016,f
cve-2016-0760,,,8/19/2016,f
cve-2015-8510,,,1/8/2016,f
cve-2015-4946,,,1/2/2016,f
cve-2013-3194,8/13/2013,,8/14/2013,f
cve-2016-0799,,,3/3/2016,f
cve-2016-10252,,,3/14/2017,f
cve-2014-7775,,,10/21/2014,f
cve-2016-0816,,,3/12/2016,f
cve-2014-3659,,9/25/2014,9/25/2014,f
cve-2013-5965,,,9/30/2013,f
cve-2013-5968,,,10/28/2013,f
cve-2016-0827,,,3/12/2016,f
cve-2016-0860,2/5/2016,,1/14/2016,f
cve-2016-0863,,,2/12/2016,f
cve-2016-0887,,,4/12/2016,f
cve-2009-3524,,,10/1/2009,f
cve-2010-0126,,,8/17/2010,f
cve-2010-0135,,,8/17/2010,f
cve-2015-6268,,,8/28/2015,f
cve-2016-0897,,,9/17/2016,f
cve-2016-0904,,,9/20/2016,f
cve-2016-0946,,,1/13/2016,f
cve-2009-2740,,,8/19/2009,f
cve-2016-1172,,,4/6/2016,f
cve-2016-1346,,,4/6/2016,f
cve-2016-1238,,,8/2/2016,f
cve-2015-5335,,,2/21/2016,f
cve-2010-0209,,,8/11/2010,f
cve-2016-1279,,,9/9/2016,f
cve-2016-1392,,,5/5/2016,f
cve-2015-4694,,,1/8/2016,f
cve-2014-9785,,,7/10/2016,f
cve-2014-9792,,,7/10/2016,f
cve-2016-2850,,,5/13/2016,f
cve-2014-9872,,,8/6/2016,f
cve-2014-9875,,,8/6/2016,f
cve-2014-9901,,,8/5/2016,f
cve-2014-9797,,,7/10/2016,f
cve-2012-3828,,,7/3/2012,f
cve-2015-0568,,,8/7/2016,f
cve-2015-8481,,,1/8/2016,f
cve-2016-0005,,,1/12/2016,f
cve-2016-1241,,,9/7/2016,f
cve-2015-3182,,,1/3/2016,f
cve-2015-7938,,,1/8/2016,f
cve-2015-3854,,,8/7/2016,f
cve-2015-4920,,,1/20/2016,f
cve-2015-4959,,,1/17/2016,f
cve-2015-3569,,,4/26/2016,f
cve-2014-3806,,,5/21/2014,t
cve-2016-0563,,,1/20/2016,f
cve-2017-6297,,,2/27/2017,f
cve-2015-5331,,,2/21/2016,f
cve-2015-5347,,,4/12/2016,f
cve-2015-5727,,,5/13/2016,f
cve-2014-5023,,,7/22/2014,f
cve-2010-0211,,7/19/2010,7/27/2010,f
cve-2010-0235,,,4/14/2010,f
cve-2010-0274,,,1/9/2010,f
cve-2015-6393,,,10/6/2016,f
cve-2015-8948,,,9/7/2016,f
cve-2016-1703,,,6/5/2016,f
cve-2015-6551,,,5/7/2016,f
cve-2016-0858,2/5/2016,,1/14/2016,f
cve-2013-2787,,,10/13/2013,f
cve-2010-0277,,,1/9/2010,f
cve-2012-3199,,,10/16/2012,f
cve-2016-5899,,,2/1/2017,f
cve-2015-6931,,,7/2/2016,f
cve-2016-6463,,,11/18/2016,f
cve-2016-6643,,,9/17/2016,f
cve-2016-6739,,,11/25/2016,f
cve-2016-6745,,,11/25/2016,f
cve-2016-6827,,,9/26/2016,f
cve-2016-6899,,,9/7/2016,f
cve-2010-0318,,,1/15/2010,f
cve-2013-6125,,,1/4/2015,f
cve-2010-0442,,1/27/2010,2/2/2010,f
cve-2016-6935,,,10/13/2016,f
cve-2014-9275,,,12/9/2014,f
cve-2014-0666,,,1/16/2014,f
cve-2016-0900,,,5/7/2016,f
cve-2016-7039,,,10/16/2016,f
cve-2016-7044,,,9/27/2016,f
cve-2016-7236,,,11/10/2016,f
cve-2015-4610,,,6/16/2015,f
cve-2016-7960,,,10/13/2016,f
cve-2013-3235,,,4/22/2013,f
cve-2013-3238,,4/25/2013,4/25/2013,t
cve-2016-9117,,,10/30/2016,f
cve-2016-8281,,,10/25/2016,f
cve-2016-9111,,,11/7/2016,f
cve-2016-9373,,,11/17/2016,f
cve-2016-1733,,,3/23/2016,f
cve-2016-5366,,,6/14/2016,f
cve-2016-6677,,,10/10/2016,f
cve-2016-8811,,10/31/2016,11/8/2016,f
cve-2012-1370,,,8/6/2012,f
cve-2014-3375,,,10/31/2014,f
cve-2012-0808,,,3/19/2012,f
cve-2013-3252,,,4/10/2014,f
cve-2012-1612,,,9/6/2012,f
cve-2016-7505,,,10/28/2016,f
cve-2014-9887,,,8/6/2016,f
cve-2015-4602,,,5/16/2016,f
cve-2015-0690,,,4/6/2015,f
cve-2012-6700,,,4/11/2016,f
cve-2010-0565,,,2/19/2010,f
cve-2010-0586,,,3/25/2010,f
cve-2009-0243,,,1/21/2009,f
cve-2009-0345,,,1/29/2009,f
cve-2009-0418,,,2/4/2009,f
cve-2009-0482,,,2/9/2009,f
cve-2009-0499,,,2/9/2009,f
cve-2009-0582,,,3/14/2009,f
cve-2009-2532,,,10/14/2009,f
cve-2009-0367,,2/25/2009,3/4/2009,f
cve-2010-3074,,,9/17/2010,f
cve-2013-3258,,,6/2/2014,f
cve-2017-6301,,,2/23/2017,f
cve-2009-0632,,,3/12/2009,f
cve-2009-0910,,,4/6/2009,f
cve-2009-0935,,,3/17/2009,f
cve-2010-0739,,,4/16/2010,f
cve-2010-0815,,,5/11/2010,f
cve-2013-3267,,,5/3/2013,f
cve-2015-1983,,,10/3/2015,f
cve-2009-0992,,,4/15/2009,f
cve-2009-1084,,,3/25/2009,f
cve-2015-0776,,,6/12/2015,f
cve-2009-1129,,,5/12/2009,f
cve-2009-1160,,,4/9/2009,f
cve-2011-1435,,,5/3/2011,f
cve-2012-2019,7/12/2012,10/29/2012,7/10/2012,f
cve-2009-1164,,,7/29/2009,f
cve-2010-0831,,,6/18/2010,f
cve-2010-0856,,,4/13/2010,f
cve-2010-0869,,,4/13/2010,f
cve-2013-3286,,,11/6/2013,f
cve-2015-2264,,,3/12/2015,f
cve-2012-4993,,,9/19/2012,t
cve-2010-0890,,,4/13/2010,f
cve-2010-1084,,,4/6/2010,f
cve-2010-1129,,,3/26/2010,f
cve-2009-1179,,,4/23/2009,f
cve-2009-1202,,,6/25/2009,f
cve-2009-1276,,,4/9/2009,f
cve-2009-1212,,3/31/2009,4/1/2009,f
cve-2012-3423,,,8/7/2012,f
cve-2012-4106,,,10/13/2013,f
cve-2012-5415,,,4/16/2013,f
cve-2009-1531,6/10/2009,,6/10/2009,f
cve-2013-3693,,,10/11/2013,f
cve-2010-1215,,,7/30/2010,f
cve-2013-3304,,,10/30/2014,t
cve-2010-1264,,,6/8/2010,f
cve-2010-1291,,,5/13/2010,f
cve-2010-1449,,,5/27/2010,f
cve-2010-1527,,9/19/2010,8/23/2010,f
cve-2010-1598,,,4/29/2010,f
cve-2013-3327,,,5/16/2013,f
cve-2009-1553,,5/5/2009,5/6/2009,f
cve-2010-1637,,,6/22/2010,f
cve-2010-1792,,,7/30/2010,f
cve-2017-6308,,,2/23/2017,f
cve-2015-6832,,,1/18/2016,f
cve-2009-1672,,,5/18/2009,f
cve-2010-1811,,,9/9/2010,f
cve-2010-2058,,,6/7/2010,f
cve-2013-3360,,,9/11/2013,f
cve-2009-1955,,6/1/2009,6/6/2009,f
cve-2009-1701,6/8/2009,,6/10/2009,f
cve-2009-1861,,,6/11/2009,f
cve-2014-3841,,,5/22/2014,f
cve-2014-4333,,,6/19/2014,f
cve-2013-6221,6/11/2014,6/27/2014,6/18/2014,t
cve-2010-2216,,,8/11/2010,f
cve-2014-5108,,,7/28/2014,f
cve-2016-6840,,,9/26/2016,f
cve-2010-2363,,,8/30/2010,f
cve-2010-2372,,,7/13/2010,f
cve-2017-6311,,,3/9/2017,f
cve-2015-7749,,,10/19/2015,f
cve-2009-2500,,,10/14/2009,f
cve-2009-2536,,,7/20/2009,f
cve-2009-2827,,,11/10/2009,f
cve-2009-2172,,6/15/2009,6/23/2009,f
cve-2009-2345,,,7/7/2009,f
cve-2009-2828,,,11/10/2009,f
cve-2010-2397,,,7/13/2010,f
cve-2010-2399,,,7/13/2010,f
cve-2015-0698,,,4/15/2015,f
cve-2009-2848,,,8/18/2009,f
cve-2011-3703,,,9/23/2011,f
cve-2010-2537,,,9/30/2010,f
cve-2013-3574,,6/10/2013,6/14/2013,f
cve-2016-6895,,,8/30/2016,f
cve-2009-3037,,,9/1/2009,f
cve-2009-3048,,,9/2/2009,f
cve-2010-2552,,,8/11/2010,f
cve-2010-2572,,,11/9/2010,f
cve-2012-2083,,,8/31/2012,f
cve-2010-2686,,,7/9/2010,f
cve-2010-2730,,,9/15/2010,f
cve-2010-2881,,,8/26/2010,f
cve-2009-3482,,,9/30/2009,f
cve-2009-4226,,,12/8/2009,f
cve-2009-4044,,,11/20/2009,f
cve-2013-2761,,,4/4/2013,f
cve-2010-2963,,10/28/2010,11/26/2010,f
cve-2017-6334,,,3/5/2017,f
cve-2009-3584,,,12/23/2009,f
cve-2009-4500,,,12/31/2009,f
cve-2009-4514,,,12/31/2009,f
cve-2009-4515,,,12/31/2009,f
cve-2009-4542,,,1/4/2010,f
cve-2013-5887,,,1/14/2014,f
cve-2013-3406,,,11/15/2013,f
cve-2014-3781,,,6/11/2014,f
cve-2009-2395,,6/29/2009,7/9/2009,f
cve-2009-3463,,,11/4/2009,f
cve-2009-3551,,,10/30/2009,f
cve-2009-3855,,,11/4/2009,f
cve-2009-3766,,,10/23/2009,f
cve-2011-3484,,,9/20/2011,f
cve-2013-5569,,,8/23/2013,f
cve-2012-1893,,,7/10/2012,f
cve-2010-1023,,,3/19/2010,f
cve-2010-3186,,,8/30/2010,f
cve-2010-3231,,,10/13/2010,f
cve-2010-0268,4/13/2010,,4/14/2010,f
cve-2010-5319,,,1/3/2015,f
cve-2013-3509,,,5/8/2013,f
cve-2010-3523,,,10/14/2010,f
cve-2010-3550,,,10/19/2010,f
cve-2010-3556,,,10/19/2010,f
cve-2010-3657,,,10/6/2010,f
cve-2013-3469,,,9/3/2013,f
cve-2014-10019,,,1/13/2015,t
cve-2010-0118,,,2/24/2010,f
cve-2013-6411,,,12/14/2013,f
cve-2009-3934,,,11/12/2009,f
cve-2014-0664,,,1/10/2014,f
cve-2013-4052,,,9/20/2013,f
cve-2013-1221,,,5/9/2013,f
cve-2014-6784,,,9/28/2014,f
cve-2014-8887,,,6/7/2015,f
cve-2009-2690,,,8/10/2009,f
cve-2010-2035,,5/19/2010,5/25/2010,f
cve-2013-0841,,,1/24/2013,f
cve-2014-6919,,,10/4/2014,f
cve-2009-3507,,,10/1/2009,f
cve-2009-0974,,,4/15/2009,f
cve-2013-3048,,,10/1/2013,f
cve-2013-3472,,,8/29/2013,f
cve-2010-1660,,4/27/2010,4/30/2010,t
cve-2010-3809,,,11/20/2010,f
cve-2009-0179,,,1/20/2009,f
cve-2013-5996,,,11/20/2013,f
cve-2010-3824,,,11/20/2010,f
cve-2012-5297,,,10/4/2012,f
cve-2010-5146,,,8/23/2012,f
cve-2014-3563,,,8/22/2014,f
cve-2010-3097,,,8/20/2010,f
cve-2015-7681,,,2/10/2016,f
cve-2013-5034,,,1/12/2014,f
cve-2010-4083,,,11/30/2010,f
cve-2010-4346,,,12/22/2010,f
cve-2010-4352,,,12/30/2010,f
cve-2009-0069,,,1/7/2009,f
cve-2010-4374,,,12/2/2010,f
cve-2010-4375,12/10/2010,,12/14/2010,f
cve-2010-4389,12/10/2010,,12/14/2010,f
cve-2010-4518,,12/8/2010,12/9/2010,f
cve-2010-4521,,,12/23/2010,f
cve-2009-4599,,,1/12/2010,t
cve-2009-3580,,,12/23/2009,f
cve-2009-4813,,12/24/2009,4/27/2010,t
cve-2010-0945,,,3/8/2010,t
cve-2010-4578,,,12/21/2010,f
cve-2013-3485,,,8/30/2013,f
cve-2009-4845,,,5/7/2010,f
cve-2009-4779,,11/24/2009,4/21/2010,t
cve-2013-5100,,,8/9/2013,f
cve-2010-0074,,,1/12/2010,f
cve-2010-0459,,,1/28/2010,t
cve-2015-0099,3/10/2015,,3/11/2015,f
cve-2009-0077,,,4/14/2009,f
cve-2013-5724,,,9/11/2013,f
cve-2010-0671,,2/16/2010,2/22/2010,t
cve-2009-0099,,,2/10/2009,f
cve-2009-0287,,,1/27/2009,f
cve-2009-0153,,,5/13/2009,f
cve-2009-0980,,,4/15/2009,f
cve-2010-2032,,5/19/2010,5/24/2010,f
cve-2011-0643,,,1/25/2011,t
cve-2017-6340,,,4/5/2017,f
cve-2009-4585,,12/30/2009,1/6/2010,t
cve-2010-1542,,,4/26/2010,f
cve-2010-2547,,,8/5/2010,f
cve-2013-3524,,4/15/2013,5/10/2013,t
cve-2010-0375,,,1/21/2010,t
cve-2010-1341,,3/13/2010,4/9/2010,t
cve-2010-2004,,1/15/2010,5/20/2010,t
cve-2009-2863,,,9/28/2009,f
cve-2010-2457,,,6/25/2010,t
cve-2010-3855,,,11/26/2010,f
cve-2013-3544,,,8/9/2013,f
cve-2016-4895,,,4/12/2017,f
cve-2009-0608,,,2/17/2009,f
cve-2015-8571,12/8/2015,,12/15/2015,f
cve-2009-0478,,2/9/2009,2/8/2009,f
cve-2012-5595,,,12/5/2012,f
cve-2010-0944,,1/10/2010,3/8/2010,t
cve-2010-0971,,3/11/2010,3/16/2010,t
cve-2010-1306,,4/4/2010,4/8/2010,t
cve-2010-1925,,5/10/2010,5/12/2010,t
cve-2010-2089,,6/14/2010,5/27/2010,f
cve-2010-1797,,8/3/2010,8/16/2010,t
cve-2009-0733,,,3/23/2009,f
cve-2010-4639,,,12/30/2010,t
cve-2009-4228,,,12/8/2009,f
cve-2010-1540,,3/3/2010,4/26/2010,t
cve-2010-3765,,10/28/2010,10/27/2010,t
cve-2010-0418,,,3/9/2010,f
cve-2010-1981,,4/6/2010,5/19/2010,t
cve-2009-0284,,1/25/2009,1/27/2009,f
cve-2013-3578,,,7/15/2013,f
cve-2009-2189,,,12/21/2010,f
cve-2009-0749,,,3/2/2009,f
cve-2009-4443,,,12/28/2009,f
cve-2013-0074,,,3/12/2013,f
cve-2013-0641,,,2/13/2013,f
cve-2009-4824,,,4/27/2010,f
cve-2015-4259,,,7/10/2015,f
cve-2010-0221,,,1/7/2010,f
cve-2010-0257,,,3/10/2010,f
cve-2013-4031,,,8/9/2013,f
cve-2015-5648,,,10/10/2015,f
cve-2009-0847,,,4/8/2009,f
cve-2010-0030,,,2/10/2010,f
cve-2010-0037,,,1/20/2010,f
cve-2010-4143,,,11/1/2010,t
cve-2010-0067,,,1/12/2010,f
cve-2012-6634,,,1/20/2014,f
cve-2010-0270,,,4/14/2010,f
cve-2010-0560,,,2/8/2010,f
cve-2010-1260,,,6/8/2010,f
cve-2010-1389,,,6/11/2010,f
cve-2009-0996,,,4/15/2009,f
cve-2009-4331,,,12/16/2009,f
cve-2010-1390,,,6/11/2010,f
cve-2010-1396,6/8/2010,,6/11/2010,f
cve-2010-0182,,,4/5/2010,f
cve-2010-1267,,,4/6/2010,t
cve-2010-3570,,,10/19/2010,f
cve-2017-6396,,,3/2/2017,f
cve-2015-7410,,,12/31/2015,f
cve-2010-1771,,,6/11/2010,f
cve-2013-0004,,,1/9/2013,f
cve-2009-1135,,,7/15/2009,f
cve-2010-2179,,,6/15/2010,f
cve-2010-2189,,,6/15/2010,f
cve-2013-0404,,,4/17/2013,f
cve-2010-2649,,,7/6/2010,f
cve-2010-2665,,,7/7/2010,f
cve-2010-2765,,,9/9/2010,f
cve-2010-2839,,,8/26/2010,f
cve-2009-1341,,,4/30/2009,f
cve-2009-1412,,,4/24/2009,f
cve-2011-1333,,,6/29/2011,f
cve-2010-2862,,8/14/2010,8/5/2010,f
cve-2010-2937,,,8/20/2010,f
cve-2010-1254,,,6/8/2010,f
cve-2013-1504,,,4/17/2013,f
cve-2017-6399,,,3/2/2017,f
cve-2017-6400,,,3/2/2017,f
cve-2009-4689,,8/21/2009,3/10/2010,f
cve-2009-4657,,9/18/2009,3/3/2010,f
cve-2013-0518,,,5/10/2013,f
cve-2009-1584,,5/5/2009,5/7/2009,f
cve-2012-5176,,,12/6/2012,f
cve-2013-0852,,,12/7/2013,f
cve-2009-4805,,,4/23/2010,f
cve-2009-4748,,7/15/2009,3/26/2010,f
cve-2013-1284,,,4/9/2013,f
cve-2010-1992,,,5/20/2010,f
cve-2010-0471,,,2/2/2010,f
cve-2016-0688,,,4/21/2016,f
cve-2009-4807,,3/2/2009,4/23/2010,f
cve-2009-4836,,6/3/2009,5/5/2010,f
cve-2013-0937,,,5/10/2013,f
cve-2013-3608,,,9/7/2013,f
cve-2013-3689,,,10/4/2013,f
cve-2009-4879,,,5/26/2010,f
cve-2015-7470,,,1/16/2016,f
cve-2009-4841,,5/29/2009,5/5/2010,f
cve-2009-4862,,8/7/2009,5/10/2010,f
cve-2009-4872,,8/7/2009,5/10/2010,f
cve-2009-4928,,,7/9/2010,f
cve-2017-6411,,,3/6/2017,f
cve-2010-0137,,,1/21/2010,f
cve-2013-3706,4/3/2014,,3/6/2014,f
