cve,assign_date,edb_date,date_diff
CVE-2015-0001,2014-11-18,,
CVE-2015-0002,2014-11-18,2015-01-01,44
CVE-2015-0003,2014-11-18,,
CVE-2015-0004,2014-11-18,2015-01-18,61
CVE-2015-0005,2014-11-18,,
CVE-2015-0006,2014-11-18,,
CVE-2015-0008,2014-11-18,,
CVE-2015-0009,2014-11-18,,
CVE-2015-0010,2014-11-18,,
CVE-2015-0011,2014-11-18,,
CVE-2015-0012,2014-11-18,,
CVE-2015-0014,2014-11-18,,
CVE-2015-0015,2014-11-18,,
CVE-2015-0016,2014-11-18,2015-02-03,77
CVE-2015-0017,2014-11-18,,
CVE-2015-0018,2014-11-18,,
CVE-2015-0019,2014-11-18,,
CVE-2015-0020,2014-11-18,,
CVE-2015-0021,2014-11-18,,
CVE-2015-0022,2014-11-18,,
CVE-2015-0023,2014-11-18,,
CVE-2015-0025,2014-11-18,,
CVE-2015-0026,2014-11-18,,
CVE-2015-0027,2014-11-18,,
CVE-2015-0028,2014-11-18,,
CVE-2015-0029,2014-11-18,,
CVE-2015-0030,2014-11-18,,
CVE-2015-0031,2014-11-18,,
CVE-2015-0032,2014-11-18,,
CVE-2015-0035,2014-11-18,,
CVE-2015-0036,2014-11-18,,
CVE-2015-0037,2014-11-18,,
CVE-2015-0038,2014-11-18,,
CVE-2015-0039,2014-11-18,,
CVE-2015-0040,2014-11-18,2016-11-14,727
CVE-2015-0041,2014-11-18,,
CVE-2015-0042,2014-11-18,,
CVE-2015-0043,2014-11-18,,
CVE-2015-0044,2014-11-18,,
CVE-2015-0045,2014-11-18,,
CVE-2015-0046,2014-11-18,,
CVE-2015-0048,2014-11-18,,
CVE-2015-0049,2014-11-18,,
CVE-2015-0050,2014-11-18,2016-11-28,741
CVE-2015-0051,2014-11-18,,
CVE-2015-0052,2014-11-18,,
CVE-2015-0053,2014-11-18,,
CVE-2015-0054,2014-11-18,,
CVE-2015-0055,2014-11-18,,
CVE-2015-0056,2014-11-18,,
CVE-2015-0057,2014-11-18,2015-12-18,395
CVE-2015-0058,2014-11-18,,
CVE-2015-0059,2014-11-18,,
CVE-2015-0060,2014-11-18,,
CVE-2015-0061,2014-11-18,,
CVE-2015-0062,2014-11-18,,
CVE-2015-0063,2014-11-18,,
CVE-2015-0064,2014-11-18,2015-08-25,280
CVE-2015-0065,2014-11-18,2015-08-25,280
CVE-2015-0066,2014-11-18,,
CVE-2015-0067,2014-11-18,,
CVE-2015-0068,2014-11-18,,
CVE-2015-0069,2014-11-18,,
CVE-2015-0070,2014-11-18,,
CVE-2015-0071,2014-11-18,,
CVE-2015-0072,2014-11-18,,
CVE-2015-0073,2014-11-18,,
CVE-2015-0074,2014-11-18,,
CVE-2015-0075,2014-11-18,,
CVE-2015-0076,2014-11-18,,
CVE-2015-0077,2014-11-18,,
CVE-2015-0078,2014-11-18,,
CVE-2015-0079,2014-11-18,,
CVE-2015-0080,2014-11-18,,
CVE-2015-0081,2014-11-18,2015-03-11,113
CVE-2015-0084,2014-11-18,,
CVE-2015-0085,2014-11-18,,
CVE-2015-0086,2014-11-18,,
CVE-2015-0087,2014-11-18,,
CVE-2015-0088,2014-11-18,,
CVE-2015-0089,2014-11-18,,
CVE-2015-0090,2014-11-18,,
CVE-2015-0091,2014-11-18,,
CVE-2015-0092,2014-11-18,,
CVE-2015-0093,2014-11-18,,
CVE-2015-0094,2014-11-18,,
CVE-2015-0095,2014-11-18,,
CVE-2015-0096,2014-11-18,,
CVE-2015-0097,2014-11-18,,
CVE-2015-0098,2014-11-18,,
CVE-2015-0099,2014-11-18,,
CVE-2015-0100,2014-11-18,,
CVE-2015-0103,2014-11-18,,
CVE-2015-0105,2014-11-18,,
CVE-2015-0106,2014-11-18,,
CVE-2015-0108,2014-11-18,,
CVE-2015-0109,2014-11-18,,
CVE-2015-0112,2014-11-18,,
CVE-2015-0113,2014-11-18,,
CVE-2015-0115,2014-11-18,,
CVE-2015-0116,2014-11-18,,
CVE-2015-0117,2014-11-18,,
CVE-2015-0118,2014-11-18,,
CVE-2015-0119,2014-11-18,,
CVE-2015-0120,2014-11-18,,
CVE-2015-0121,2014-11-18,,
CVE-2015-0122,2014-11-18,,
CVE-2015-0123,2014-11-18,,
