cve,assign_date,published_date,date_diff
CVE-2015-0001,11/18/2014,1/13/2015,56
CVE-2015-0002,11/18/2014,1/13/2015,56
CVE-2015-0003,11/18/2014,2/10/2015,84
CVE-2015-0004,11/18/2014,1/13/2015,56
CVE-2015-0005,11/18/2014,3/11/2015,113
CVE-2015-0006,11/18/2014,1/13/2015,56
CVE-2015-0008,11/18/2014,2/10/2015,84
CVE-2015-0009,11/18/2014,2/10/2015,84
CVE-2015-0010,11/18/2014,2/10/2015,84
CVE-2015-0011,11/18/2014,1/13/2015,56
CVE-2015-0012,11/18/2014,2/10/2015,84
CVE-2015-0014,11/18/2014,1/13/2015,56
CVE-2015-0015,11/18/2014,1/13/2015,56
CVE-2015-0016,11/18/2014,1/13/2015,56
CVE-2015-0017,11/18/2014,2/10/2015,84
CVE-2015-0018,11/18/2014,2/10/2015,84
CVE-2015-0019,11/18/2014,2/10/2015,84
CVE-2015-0020,11/18/2014,2/10/2015,84
CVE-2015-0021,11/18/2014,2/10/2015,84
CVE-2015-0022,11/18/2014,2/10/2015,84
CVE-2015-0023,11/18/2014,2/10/2015,84
CVE-2015-0025,11/18/2014,2/10/2015,84
CVE-2015-0026,11/18/2014,2/10/2015,84
CVE-2015-0027,11/18/2014,2/10/2015,84
CVE-2015-0028,11/18/2014,2/10/2015,84
CVE-2015-0029,11/18/2014,2/10/2015,84
CVE-2015-0030,11/18/2014,2/10/2015,84
CVE-2015-0031,11/18/2014,2/10/2015,84
CVE-2015-0032,11/18/2014,3/11/2015,113
CVE-2015-0035,11/18/2014,2/10/2015,84
CVE-2015-0036,11/18/2014,2/10/2015,84
CVE-2015-0037,11/18/2014,2/10/2015,84
CVE-2015-0038,11/18/2014,2/10/2015,84
CVE-2015-0039,11/18/2014,2/10/2015,84
CVE-2015-0040,11/18/2014,2/10/2015,84
CVE-2015-0041,11/18/2014,2/10/2015,84
CVE-2015-0042,11/18/2014,2/10/2015,84
CVE-2015-0043,11/18/2014,2/10/2015,84
CVE-2015-0044,11/18/2014,2/10/2015,84
CVE-2015-0045,11/18/2014,2/10/2015,84
CVE-2015-0046,11/18/2014,2/10/2015,84
CVE-2015-0048,11/18/2014,2/10/2015,84
CVE-2015-0049,11/18/2014,2/10/2015,84
CVE-2015-0050,11/18/2014,2/10/2015,84
CVE-2015-0051,11/18/2014,2/10/2015,84
CVE-2015-0052,11/18/2014,2/10/2015,84
CVE-2015-0053,11/18/2014,2/10/2015,84
CVE-2015-0054,11/18/2014,2/10/2015,84
CVE-2015-0055,11/18/2014,2/10/2015,84
CVE-2015-0056,11/18/2014,3/11/2015,113
CVE-2015-0057,11/18/2014,2/10/2015,84
CVE-2015-0058,11/18/2014,2/10/2015,84
CVE-2015-0059,11/18/2014,2/10/2015,84
CVE-2015-0060,11/18/2014,2/10/2015,84
CVE-2015-0061,11/18/2014,2/10/2015,84
CVE-2015-0062,11/18/2014,2/10/2015,84
CVE-2015-0063,11/18/2014,2/10/2015,84
CVE-2015-0064,11/18/2014,2/10/2015,84
CVE-2015-0065,11/18/2014,2/10/2015,84
CVE-2015-0066,11/18/2014,2/10/2015,84
CVE-2015-0067,11/18/2014,2/10/2015,84
CVE-2015-0068,11/18/2014,2/10/2015,84
CVE-2015-0069,11/18/2014,2/10/2015,84
CVE-2015-0070,11/18/2014,2/10/2015,84
CVE-2015-0071,11/18/2014,2/10/2015,84
CVE-2015-0072,11/18/2014,2/7/2015,81
CVE-2015-0073,11/18/2014,3/11/2015,113
CVE-2015-0074,11/18/2014,3/11/2015,113
CVE-2015-0075,11/18/2014,3/11/2015,113
CVE-2015-0076,11/18/2014,3/11/2015,113
CVE-2015-0077,11/18/2014,3/11/2015,113
CVE-2015-0078,11/18/2014,3/11/2015,113
CVE-2015-0079,11/18/2014,3/11/2015,113
CVE-2015-0080,11/18/2014,3/11/2015,113
CVE-2015-0081,11/18/2014,3/11/2015,113
CVE-2015-0084,11/18/2014,3/11/2015,113
CVE-2015-0085,11/18/2014,3/11/2015,113
CVE-2015-0086,11/18/2014,3/11/2015,113
CVE-2015-0087,11/18/2014,3/11/2015,113
CVE-2015-0088,11/18/2014,3/11/2015,113
CVE-2015-0089,11/18/2014,3/11/2015,113
CVE-2015-0090,11/18/2014,3/11/2015,113
CVE-2015-0091,11/18/2014,3/11/2015,113
CVE-2015-0092,11/18/2014,3/11/2015,113
CVE-2015-0093,11/18/2014,3/11/2015,113
CVE-2015-0094,11/18/2014,3/11/2015,113
CVE-2015-0095,11/18/2014,3/11/2015,113
CVE-2015-0096,11/18/2014,3/11/2015,113
CVE-2015-0097,11/18/2014,3/11/2015,113
CVE-2015-0098,11/18/2014,4/14/2015,147
CVE-2015-0099,11/18/2014,3/11/2015,113
CVE-2015-0100,11/18/2014,3/11/2015,113
CVE-2015-0103,11/18/2014,3/23/2015,125
CVE-2015-0105,11/18/2014,3/23/2015,125
CVE-2015-0106,11/18/2014,3/23/2015,125
CVE-2015-0108,11/18/2014,2/17/2015,91
CVE-2015-0109,11/18/2014,2/17/2015,91
CVE-2015-0112,11/18/2014,6/7/2015,201
CVE-2015-0113,11/18/2014,4/26/2015,159
CVE-2015-0115,11/18/2014,6/28/2015,222
CVE-2015-0116,11/18/2014,6/28/2015,222
CVE-2015-0117,11/18/2014,4/5/2015,138
CVE-2015-0118,11/18/2014,6/28/2015,222
CVE-2015-0119,11/18/2014,4/5/2015,138
CVE-2015-0120,11/18/2014,5/25/2015,188
CVE-2015-0121,11/18/2014,5/30/2015,193
CVE-2015-0122,11/18/2014,3/12/2015,114
CVE-2015-0123,11/18/2014,3/12/2015,114
CVE-2015-0124,11/18/2014,3/18/2015,120
CVE-2015-0125,11/18/2014,3/18/2015,120
CVE-2015-0126,11/18/2014,6/28/2015,222
CVE-2015-0127,11/18/2014,6/28/2015,222
CVE-2015-0128,11/18/2014,3/18/2015,120
CVE-2015-0129,11/18/2014,3/12/2015,114
CVE-2015-0130,11/18/2014,7/19/2015,243
CVE-2015-0131,11/18/2014,6/28/2015,222
CVE-2015-0132,11/18/2014,3/18/2015,120
CVE-2015-0133,11/18/2014,3/12/2015,114
CVE-2015-0134,11/18/2014,4/5/2015,138
CVE-2015-0135,11/18/2014,4/21/2015,154
CVE-2015-0136,11/18/2014,3/23/2015,125
CVE-2015-0137,11/18/2014,3/23/2015,125
CVE-2015-0138,11/18/2014,3/24/2015,126
CVE-2015-0139,11/18/2014,3/12/2015,114
CVE-2015-0140,11/18/2014,5/25/2015,188
CVE-2015-0141,11/18/2014,10/3/2015,319
CVE-2015-0142,11/18/2014,10/3/2015,319
CVE-2015-0143,11/18/2014,10/3/2015,319
CVE-2015-0144,11/18/2014,10/3/2015,319
CVE-2015-0145,11/18/2014,10/3/2015,319
CVE-2015-0146,11/18/2014,3/18/2015,120
CVE-2015-0149,11/18/2014,3/18/2015,120
CVE-2015-0156,11/18/2014,5/25/2015,188
CVE-2015-0157,11/18/2014,7/19/2015,243
CVE-2015-0158,11/18/2014,3/23/2015,125
CVE-2015-0160,11/18/2014,5/25/2015,188
CVE-2015-0161,11/18/2014,5/25/2015,188
CVE-2015-0167,11/18/2014,2/20/2015,94
CVE-2015-0168,11/18/2014,5/25/2015,188
CVE-2015-0169,11/18/2014,5/25/2015,188
CVE-2015-0170,11/18/2014,5/25/2015,188
CVE-2015-0171,11/18/2014,5/25/2015,188
CVE-2015-0173,11/18/2014,6/28/2015,222
CVE-2015-0174,11/18/2014,4/26/2015,159
CVE-2015-0175,11/18/2014,4/26/2015,159
CVE-2015-0176,11/18/2014,4/26/2015,159
CVE-2015-0177,11/18/2014,3/12/2015,114
CVE-2015-0178,11/18/2014,3/18/2015,120
CVE-2015-0179,11/18/2014,4/5/2015,138
CVE-2015-0180,11/18/2014,5/25/2015,188
CVE-2015-0189,11/18/2014,5/20/2015,183
CVE-2015-0192,11/18/2014,7/2/2015,226
CVE-2015-0193,11/18/2014,5/30/2015,193
CVE-2015-0195,11/18/2014,10/3/2015,319
CVE-2015-0196,11/18/2014,6/29/2015,223
CVE-2015-0197,11/18/2014,3/23/2015,125
CVE-2015-0198,11/18/2014,3/23/2015,125
CVE-2015-0199,11/18/2014,3/23/2015,125
CVE-2015-0200,11/18/2014,5/29/2015,192
CVE-2015-0201,11/18/2014,3/10/2015,112
CVE-2015-0202,11/18/2014,4/8/2015,141
CVE-2015-0204,11/18/2014,1/8/2015,51
CVE-2015-0205,11/18/2014,1/8/2015,51
CVE-2015-0206,11/18/2014,1/8/2015,51
CVE-2015-0207,11/18/2014,3/19/2015,121
CVE-2015-0208,11/18/2014,3/19/2015,121
CVE-2015-0209,11/18/2014,3/19/2015,121
CVE-2015-0211,11/18/2014,6/1/2015,195
CVE-2015-0212,11/18/2014,6/1/2015,195
CVE-2015-0213,11/18/2014,6/1/2015,195
CVE-2015-0214,11/18/2014,6/1/2015,195
CVE-2015-0215,11/18/2014,6/1/2015,195
CVE-2015-0216,11/18/2014,6/1/2015,195
CVE-2015-0217,11/18/2014,6/1/2015,195
CVE-2015-0218,11/18/2014,6/1/2015,195
CVE-2015-0219,11/18/2014,1/16/2015,59
CVE-2015-0220,11/18/2014,1/16/2015,59
CVE-2015-0221,11/18/2014,1/16/2015,59
CVE-2015-0222,11/18/2014,1/16/2015,59
CVE-2015-0223,11/18/2014,2/2/2015,76
CVE-2015-0225,11/18/2014,4/3/2015,136
CVE-2015-0227,11/18/2014,2/12/2015,86
CVE-2015-0228,11/18/2014,3/7/2015,109
CVE-2015-0231,11/18/2014,1/27/2015,70
CVE-2015-0232,11/18/2014,1/27/2015,70
CVE-2015-0235,11/18/2014,1/28/2015,71
CVE-2015-0236,11/18/2014,1/29/2015,72
CVE-2015-0237,11/18/2014,5/1/2015,164
CVE-2015-0239,11/18/2014,3/2/2015,104
CVE-2015-0240,11/18/2014,2/23/2015,97
CVE-2015-0245,11/18/2014,2/13/2015,87
CVE-2015-0247,11/18/2014,2/17/2015,91
CVE-2015-0248,11/18/2014,4/8/2015,141
CVE-2015-0250,11/18/2014,3/24/2015,126
CVE-2015-0251,11/18/2014,4/8/2015,141
CVE-2015-0252,11/18/2014,3/24/2015,126
CVE-2015-0253,11/18/2014,7/20/2015,244
CVE-2015-0254,11/18/2014,3/9/2015,111
CVE-2015-0255,11/18/2014,2/13/2015,87
CVE-2015-0257,11/18/2014,5/1/2015,164
CVE-2015-0259,11/18/2014,4/1/2015,134
CVE-2015-0260,11/18/2014,2/16/2015,90
CVE-2015-0261,11/18/2014,3/24/2015,126
CVE-2015-0263,11/18/2014,6/3/2015,197
CVE-2015-0264,11/18/2014,6/3/2015,197
CVE-2015-0265,11/18/2014,4/11/2016,510
CVE-2015-0266,11/18/2014,4/11/2016,510
CVE-2015-0267,11/18/2014,5/19/2015,182
CVE-2015-0268,11/18/2014,2/16/2015,90
CVE-2015-0271,11/18/2014,3/10/2015,112
CVE-2015-0272,11/18/2014,11/17/2015,364
CVE-2015-0273,11/18/2014,3/30/2015,132
CVE-2015-0274,11/18/2014,3/16/2015,118
CVE-2015-0275,11/18/2014,10/19/2015,335
CVE-2015-0277,11/18/2014,8/17/2015,272
CVE-2015-0278,11/18/2014,5/18/2015,181
CVE-2015-0279,11/18/2014,3/26/2015,128
CVE-2015-0282,11/18/2014,3/24/2015,126
CVE-2015-0283,11/18/2014,3/30/2015,132
CVE-2015-0284,11/18/2014,4/14/2016,513
CVE-2015-0285,11/18/2014,3/19/2015,121
CVE-2015-0286,11/18/2014,3/19/2015,121
