CVE-ID,MITRE Assign Date,CVE Description,OG Label,New Label
cve-2015-0235,2014-11-18,heap-bas buffer overflow __nss_hostname_digits_dot function glibc 2.2 2.x version 2.18 allow context-depend attack execut arbitrari code via vector relat 1 gethostbynam 2 gethostbyname2 function aka `` ghost '',t,t
cve-2015-0779,2015-01-07,directori travers vulner uploadservlet novel zenwork configur manag zcm 10 11 11.3.2 allow remot attack execut arbitrari code via craft directori name uid paramet conjunct war filenam filenam paramet war content post data differ vulner cve-2010-5323 cve-2010-5324,t,t
cve-2015-0925,2015-01-10,the client ipass open mobil 2.4.5 window allow remot authent user execut arbitrari code via dll pathnam craft unicod string improperli handl subprocess reach name pipe demonstr unc share pathnam,t,t
cve-2015-1318,2015-01-22,the crash report featur apport 2.13 2.17.x 2.17.1 allow local user gain privileg via craft usr/share/apport/apport file namespac contain,t,t
cve-2015-1427,2015-01-31,the groovi script engin elasticsearch 1.3.8 1.4.x 1.4.3 allow remot attack bypass sandbox protect mechan execut arbitrari shell command via craft script,t,t
cve-2015-1497,2015-02-05,radexecd.ex persist system radia client autom rca 7.9 8.1 9.0 9.1 allow remot attack execut arbitrari command via craft request tcp port 3465,t,t
cve-2015-1486,2015-02-05,the manag consol symantec endpoint protect manag sepm 12.1 12.1-ru6-mp1 allow remot attack bypass authent via craft password-reset action trigger new administr session,t,t
cve-2015-1830,2015-02-17,directori travers vulner fileserv upload/download function blob messag apach activemq 5.x 5.11.2 window allow remot attack creat jsp file arbitrari directori via unspecifi vector,t,t
cve-2015-2281,2015-03-10,stack-bas buffer overflow collectoragent.ex fortinet singl sign On fsso build 164 allow remot attack execut arbitrari code via larg process_hello messag messag dispatch tcp port 8000,t,t
cve-2015-2284,2015-03-11,userlogin.jsp solarwind firewal secur manag fsm 6.6.5 hotfix1 allow remot attack gain privileg execut arbitrari code via unspecifi vector relat client session handl,t,t
cve-2015-2342,2015-03-18,the jmx rmi servic vmware vcenter server 5.0 u3e 5.1 u3b 5.5 u3 6.0 u1 restrict registr mbean allow remot attack execut arbitrari code via rmi protocol,t,t
cve-2015-2794,2015-03-30,the instal wizard dotnetnuk dnn 7.4.1 allow remot attack reinstal applic gain superus access via direct request install/installwizard.aspx,t,t
cve-2015-2797,2015-03-30,stack-bas buffer overflow airti air 6372 5760 5750 5650tt 5453 5444tt 5443 5442 5343 5342 5341 5021 dsl modem firmwar 1.2.0 earlier allow remot attack execut arbitrari code via long string redirect paramet cgi-bin/login,t,t
cve-2015-2824,2015-04-01,multipl sql inject vulner simpl ad manag plugin 2.7.97 wordpress allow remot attack execut arbitrari sql command via 1 hit paramet sam_hit action sam-ajax.php 2 cstr paramet load_post action sam-ajax-admin.php 3 searchterm paramet load_combo_data action sam-ajax-admin.php 4 subscrib 5 contributor 6 author 7 editor 8 admin 9 sadmin paramet load_us action sam-ajax-admin.php,t,t
cve-2015-2995,2015-04-07,the rdslogsentri servlet sysaid help desk 15.2 properli check file extens allow remot attack upload execut arbitrari file via null byte extens demonstr .war 00 file,t,t
cve-2015-3214,2015-04-10,the pit_ioport_read i8254.c linux kernel 2.6.33 qemu 2.3.1 distinguish read length write length might allow guest OS user execut arbitrari code host OS trigger use invalid index,t,t
cve-2015-3202,2015-04-10,fusermount fuse 2.9.3-15 properli clear environ invok 1 mount 2 umount root allow local user write arbitrari file via craft libmount_mtab environ variabl use mount 's debug featur,t,t
cve-2015-3306,2015-04-15,the mod_copi modul proftpd 1.3.5 allow remot attack read write arbitrari file via site cpfr site cpto command,t,t
cve-2015-3897,2015-05-12,directori travers vulner bonita bpm portal 6.5.3 allow remot attack read arbitrari file via .. dot dot theme paramet file path locat paramet bonita/portal/themeresourc,t,t
cve-2015-4414,2015-06-07,directori travers vulner download_audio.php SE html5 album audio player se-html5-album-audio-play plugin 1.1 earlier wordpress allow remot attack read arbitrari file via .. dot dot file paramet,t,t
cve-2015-4624,2015-06-16,hak5 wifi pineappl 2.0 2.3 use predict csrf token,t,t
cve-2015-5065,2015-06-24,absolut path travers vulner proxy.php googl currenc lookup paypal currenc convert basic for woocommerc plugin 1.4 wordpress allow remot attack read arbitrari file via full pathnam requrl paramet,t,t
cve-2015-5082,2015-06-26,endian firewal 3.0 allow remot attack execut arbitrari command via shell metacharact 1 new_password_1 2 new_password_2 paramet cgi-bin/chpasswd.cgi,t,t
cve-2015-5287,2015-07-01,the abrt-hook-ccpp help program automat bug report tool abrt 2.7.1 allow local user certain permiss gain privileg via symlink attack file predict name demonstr /var/tmp/abrt/abrt-hax-coredump /var/spool/abrt/abrt-hax-coredump,t,t
cve-2015-5273,2015-07-01,the abrt-action-install-debuginfo-to-abrt-cach help program automat bug report tool abrt 2.7.1 allow local user write arbitrari file via symlink attack unpacked.cpio pre-creat directori predict name /var/tmp,t,t
cve-2015-5452,2015-07-08,sql inject vulner watchguard xc 9.2 10.0 build 150522 allow remot attack execut arbitrari sql command via sid cooki demonstr request borderpost/imp/compose.php3,t,t
cve-2015-5603,2015-07-20,the hipchat jira plugin 6.30.0 atlassian jira allow remot authent user execut arbitrari java code via unspecifi vector relat `` veloc templat inject vulner '',t,t
cve-2015-7007,2015-09-16,script editor appl OS X 10.11.1 allow remot attack bypass intend user-confirm requir applescript execut via unspecifi vector,t,t
cve-2015-7243,2015-09-18,buffer overflow boxoft wav mp3 convert allow remot attack caus denial servic crash possibl execut arbitrari code via craft wav file,t,t
cve-2015-7387,2015-09-28,zoho manageengin eventlog analyz 10.6 build 10060 earlier allow remot attack bypass intend restrict execut arbitrari sql command via allow queri follow disallow one queri paramet event/runquery.do demonstr `` select 1 insert into '' fix build 11200,t,t
cve-2015-7709,2015-10-05,the arkeiad daemon arkeia backup agent western digit arkeia 11.0.12 earlier allow remot attack bypass authent execut arbitrari command via seri craft request involv arkfs_exec_cmd oper,t,t
cve-2015-7897,2015-10-22,the media scan function face recognit librari android.media.process samsung galaxi S6 edg g925vvru4b0g9 allow remot attack gain privileg caus denial servic memori corrupt via craft bmp imag file,t,t
cve-2015-7893,2015-10-22,secemailui samsung galaxi S6 sanit html email content allow remot attack execut arbitrari javascript,t,t
cve-2015-8103,2015-11-09,the jenkin cli subsystem jenkin 1.638 lt 1.625.2 allow remot attack execut arbitrari code via craft serial java object relat problemat webapps/root/web-inf/lib/commons-collections- .jar file `` groovi variant 'ysoseri '',t,t
cve-2015-8309,2015-11-20,directori travers vulner cherri music 0.36.0 allow remot authent user read arbitrari file via `` valu '' paramet `` download '',t,t
cve-2016-0793,2015-12-16,incomplet blacklist vulner servlet filter restrict mechan wildfli formerli jboss applic server 10.0.final window allow remot attack read sensit file 1 web-inf 2 meta-inf directori via request contain lowercas b `` meaningless '' charact,t,t
cve-2016-0954,2015-12-22,adob digit edit 4.5.1 allow attack execut arbitrari code caus denial servic memori corrupt via unspecifi vector,t,t
cve-2016-0956,2015-12-22,the servlet post compon 2.3.6 apach sling use adob experi manag 5.6.1 6.0 6.1 allow remot attack obtain sensit inform via unspecifi vector,t,t
cve-2015-8664,2015-12-23,integ overflow webcursor :deseri function content/common/cursors/webcursor.cc googl chrome 47.0.2526.106 allow remot attack caus denial servic possibl unspecifi impact via rgba pixel array craft dimens differ vulner cve-2015-6792,t,t
cve-2016-1240,2015-12-27,the tomcat init script tomcat7 packag 7.0.56-3+deb8u4 tomcat8 packag 8.0.14-1+deb8u3 debian jessi tomcat6 libtomcat6-java packag 6.0.35-1ubuntu3.8 ubuntu 12.04 lt tomcat7 libtomcat7-java packag 7.0.52-1ubuntu0.7 ubuntu 14.04 lt tomcat8 libtomcat8-java packag 8.0.32-1ubuntu1.2 ubuntu 16.04 lt allow local user access tomcat account gain root privileg via symlink attack catalina log file demonstr /var/log/tomcat7/catalina.out,t,t
cve-2016-1287,2016-01-04,buffer overflow ikev1 ikev2 implement cisco asa softwar 8.4 7.30 8.7 8.7 1.18 9.0 9.0 4.38 9.1 9.1 7 9.2 9.2 4.5 9.3 9.3 3.7 9.4 9.4 2.4 9.5 9.5 2.2 asa 5500 devic asa 5500-x devic asa servic modul cisco catalyst 6500 cisco 7600 devic asa 1000v devic adapt secur virtual applianc aka asav firepow 9300 asa secur modul isa 3000 devic allow remot attack execut arbitrari code caus denial servic devic reload via craft udp packet aka bug id cscux29978 cscux42019,t,t
cve-2016-1525,2016-01-07,directori travers vulner data/config/image.do netgear manag system nms300 1.5.0.11 earlier allow remot authent user read arbitrari file via .. dot dot realnam paramet,t,t
cve-2016-1531,2016-01-07,exim 4.86.2 instal setuid root allow local user gain privileg via perl_startup argument,t,t
cve-2016-1583,2016-01-12,the ecryptfs_privileged_open function fs/ecryptfs/kthread.c linux kernel 4.6.3 allow local user gain privileg caus denial servic stack memori consumpt via vector involv craft mmap call /proc pathnam lead recurs pagefault handl,t,t
cve-2016-1807,2016-01-13,race condit disk imag subsystem appl io 9.3.2 OS X 10.11.5 tvo 9.2.1 watcho 2.2.1 allow local user obtain sensit inform kernel memori via unspecifi vector,t,t
cve-2016-2004,2016-01-22,hpe data protector 7.03_108 8.x 8.15 9.x 9.06 allow remot attack execut arbitrari code via unspecifi vector relat lack authent note vulner exist incomplet fix cve-2014-2623,t,t
cve-2016-2107,2016-01-29,the aes-ni implement openssl 1.1t 1.2 1.2h consid memori alloc certain pad check allow remot attack obtain sensit cleartext inform via padding-oracl attack ae cbc session note vulner exist incorrect fix cve-2013-0169,t,t
cve-2016-2098,2016-01-29,action pack rubi rail 3.2.22.2 4.x 4.1.14.2 4.2.x 4.2.5.2 allow remot attack execut arbitrari rubi code leverag applic 's unrestrict use render method,t,t
cve-2016-2288,2016-02-09,cogent datahub 7.3.10 allow local user gain privileg leverag user guest role modifi file,t,t
cve-2016-2784,2016-02-29,cm made simpl 2.x 2.1.3 1.x 1.12.2 smarti cach activ allow remot attack conduct cach poison attack modifi link conduct cross-sit script xss attack via craft http host header request,t,t
cve-2016-3053,2016-03-09,ibm aix contain unspecifi vulner would allow local authent user obtain root level privileg,t,t
cve-2016-3081,2016-03-10,apach strut 2.3.19 2.3.20.2 2.3.21 2.3.24.1 2.3.25 2.3.28 dynam method invoc enabl allow remot attack execut arbitrari code via method prefix relat chain express,t,t
