CVE-ID,MITRE Assign Date,ZDI Published Date,Severity Score,CVE Description,ZDI Description,OG Label,New Label,In ZDI
cve-2015-0218,2014-11-18,,0.0,cross-sit request forgeri csrf vulner auth/shibboleth/logout.php moodl 2.5.9 2.6.x 2.6.7 2.7.x 2.7.4 2.8.x 2.8.2 allow remot attack hijack authent arbitrari user request trigger logout,,f,f,f
cve-2015-0214,2014-11-18,,0.0,message/externallib.php moodl 2.5.9 2.6.x 2.6.7 2.7.x 2.7.4 2.8.x 2.8.2 allow remot authent user bypass messaging-dis set via web-servic request demonstr people-search request,,f,f,f
cve-2015-0216,2014-11-18,,0.0,access.php lesson modul moodl 2.8.x 2.8.2 set risk_xss bit grader allow remot authent user conduct cross-sit script xss attack via craft essay feedback,,f,f,f
cve-2015-0211,2014-11-18,,0.0,mod/lti/ajax.php moodl 2.5.9 2.6.x 2.6.7 2.7.x 2.7.4 2.8.x 2.8.2 consid moodle/cours manageact mod/lti addinst capabl proceed registered-tool list search allow remot authent user obtain sensit inform via request lti ajax servic,,f,f,f
cve-2015-0121,2014-11-18,,0.0,ibm ration requir compos 3.0 3.0.1.6 4.0 4.0.7 ration door next gener rdng 4.0 4.0.7 5.0 5.0.2 ltpa singl sign use webspher applic server termin requir manag RM session upon ltpa token expir allow remot attack obtain access leverag unattend workstat,,f,f,f
cve-2015-0170,2014-11-18,,0.0,ibm secur siteprotector system 3.0 3.0.7 3.1 3.1.4 3.1.1 3.1.1.2 allow local user obtain sensit inform read cach data,,f,f,f
cve-2015-0135,2014-11-18,2015-04-15,10.0,ibm domino 8.5 8.5.3 fp6 if4 9.0 9.0.1 fp3 if2 allow remot attack execut arbitrari code caus denial servic integ truncat applic crash via craft gif imag aka spr klyh9t7nt9,thi vulner allow remot attack execut arbitrari code vulner instal ibm lotu domino authent requir exploit vulnerability.th flaw exist within nrouter.ex compon handl e-mail dispatch nsmtp.ex listen port 25 By specifi malici dimens within gif integ truncat occur potenti result unders buffer alloc A remot attack could exploit vulner execut arbitrari code context system user,f,f,t
cve-2015-0140,2014-11-18,,0.0,An unspecifi activex control ibm spss statist 22.0 fp1 32-bit platform allow remot attack execut arbitrari code via craft html document,,f,f,f
cve-2015-0120,2014-11-18,2015-04-08,9.3,buffer overflow fastbackmount process ibm tivoli storag manag fastback 6.1 6.1.11.1 unspecifi impact remot attack vector,thi vulner allow remot attack execut arbitrari code vulner instal ibm storag manag fastback authent requir exploit vulnerability.th specif flaw exist within crypto_s_encryptbuffertobuff function By send special craft packet tcp port 30051 attack abl caus stack buffer overflow An attack use execut arbitrari code context system,f,f,t
cve-2015-0297,2014-11-18,,0.0,red hat jboss oper network 3.3.1 properli restrict access certain api allow remot attack execut arbitrari java method via 1 serverinvokerservlet 2 schedulerservic 3 caus denial servic disk consumpt via contentmanag,,f,f,f
cve-2015-0202,2014-11-18,,0.0,the mod_dav_svn server subvers 1.8.0 1.8.11 allow remot attack caus denial servic memori consumpt via larg number report request trigger travers fsf repositori node,,f,f,f
cve-2015-0248,2014-11-18,,0.0,the 1 mod_dav_svn 2 svnserv server subvers 1.6.0 1.7.19 1.8.0 1.8.11 allow remot attack caus denial servic assert failur abort via craft paramet combin relat dynam evalu revis number,,f,f,f
cve-2015-0228,2014-11-18,,0.0,the lua_websocket_read function lua_request.c mod_lua modul apach http server 2.4.12 allow remot attack caus denial servic child-process crash send craft websocket ping frame lua script call wsupgrad function,,f,f,f
cve-2015-0130,2014-11-18,,0.0,cross-sit script xss vulner jazz team server jazz foundat ibm ration collabor lifecycl manag clm 4.x 4.0.7 if6 5.x 5.0.2 if5 ration qualiti manag rqm 4.x 4.0.7 if6 5.x 5.0.2 if5 ration team concert rtc 4.x 4.0.7 if6 5.x 5.0.2 if5 ration requir compos rrc 4.x 4.0.7 ration door next gener rdng 4.x 4.0.7 if6 5.x 5.0.2 if5 allow remot authent user inject arbitrari web script html via craft url,,f,f,f
cve-2015-0118,2014-11-18,,0.0,ibm webspher messag broker toolkit 7 7007 if2 8 8005 if1 integr toolkit 9 9003 if1 distribut MQ client jar file support weak tl cipher might make easier remot attack obtain sensit inform snif network connect integr bu node,,f,f,f
cve-2015-0173,2014-11-18,,0.0,the http connection-manag function internet pass-thru ipt 2.1.2 ibm webspher MQ http disabl properli gener mqipt session id make easier remot attack bypass intend restrict MQ messag data predict ID valu,,f,f,f
cve-2015-0236,2014-11-18,,0.0,libvirt 1.2.12 allow remot authent user obtain vnc password use vir_domain_xml_secur flag craft 1 snapshot virdomainsnapshotgetxmldesc interfac 2 imag virdomainsaveimagegetxmldesc interfac,,f,f,f
cve-2015-0223,2014-11-18,,0.0,unspecifi vulner apach qpid 0.30 earlier allow remot attack bypass access restrict qpidd via unknown vector relat 0-10 connect handl,,f,f,f
cve-2015-0176,2014-11-18,,0.0,cross-sit script xss vulner MQ XR websocket listen wmq telemetri ibm webspher MQ 8.0 8.0.2 allow remot attack inject arbitrari web script html via craft uri includ error respons,,f,f,f
cve-2015-0237,2014-11-18,,0.0,red hat enterpris virtual rhev manag 3.5.1 ignor permiss deni snapshot creation live storag migrat domain allow remot authent user caus denial servic prevent host start creat long snapshot chain,,f,f,f
