CVE-ID,MITRE Assign Date,CVE Description,Label
cve-2015-0272,2014-11-18,gnome networkmanag allow remot attack caus denial servic ipv6 traffic disrupt via craft mtu valu ipv6 router advertis RA messag differ vulner cve-2015-8215,f
cve-2015-0677,2015-01-07,the xml parser cisco adapt secur applianc asa softwar 8.4 8.4 7.28 8.6 8.6 1.17 9.0 9.0 4.33 9.1 9.1 6 9.2 9.2 3.4 9.3 9.3 3 clientless ssl vpn anyconnect ssl vpn anyconnect ikev2 vpn use allow remot attack caus denial servic vpn outag devic reload via craft xml document aka bug ID cscus95290,f
cve-2015-0932,2015-01-10,the antlab inngat firmwar IG 3100 IG 3101 inngat 3.00 E inngat 3.01 E inngat 3.02 E inngat 3.10 E inngat 3.01 G inngat 3.10 G devic requir authent rsync session allow remot attack read write arbitrari file via tcp traffic port 873,f
cve-2015-1317,2015-01-22,use-after-fre vulner oxid 1.5.6 1.6.x 1.6.1 allow remot attack caus denial servic crash possibl execut arbitrari code delet webcont renderprocesshost instanc still exist,f
cve-2015-1432,2015-01-31,the message_opt function includes/ucp/ucp_pm_options.php phpbb 3.0.13 properli valid form key allow remot attack conduct csrf attack chang full folder set via unspecifi vector,f
cve-2015-1493,2015-02-05,directori travers vulner min_get_slash_argu function lib/configonlylib.php moodl 2.5.9 2.6.x 2.6.8 2.7.x 2.7.5 2.8.x 2.8.3 allow remot authent user read arbitrari file via .. dot dot file paramet demonstr read php script,f
cve-2015-1483,2015-02-05,symantec netbackup opscent 7.6.0.2 7.6.1 linux unix allow remot attack execut arbitrari javascript code via unspecifi vector,f
cve-2015-1810,2015-02-17,the hudsonprivatesecurityrealm class jenkin 1.600 lt 1.596.1 restrict access reserv name use `` jenkin user databas '' set allow remot attack gain privileg creat reserv name,f
cve-2015-2246,2015-03-09,the mewidget modul huawei P7 smartphon softwar p7-l10 v100r001c00b136 earlier version could lead disclosur contact inform,f
cve-2015-2286,2015-03-12,lms/templates/footer-edx-new.html open edx edx-platform 2015-01-29 properli restrict link password-reset page allow user-assist remot attack discov password-reset token read refer log victim navig page social-shar site,f
cve-2015-2330,2015-03-18,late tl certif verif webkitgtk+ prior 2.6.6 allow remot attack view secur http request includ exampl secur cooki,f
cve-2015-2804,2015-03-30,the manag web interfac alcatel-luc omniswitch 6450 6250 6850e 9000e 6400 6855 firmwar 6.6.4.309.r01 6.6.5.x 6.6.5.80.r02 gener weak session identifi allow remot attack hijack arbitrari session via brute forc attack,f
cve-2015-2792,2015-03-30,the wpml plugin 3.1.9 wordpress properli handl multipl action request allow remot attack bypass nonc check perform arbitrari action via request contain action post paramet action get paramet valid nonc action get paramet,f
