CVE-ID,MITRE Assign Date,ZDI Published Date,Severity Score,CVE Description,ZDI Description,OG Label,New Label,In ZDI
cve-2015-0272,2014-11-18,,0.0,gnome networkmanag allow remot attack caus denial servic ipv6 traffic disrupt via craft mtu valu ipv6 router advertis RA messag differ vulner cve-2015-8215,,f,f,f
cve-2015-0677,2015-01-07,,0.0,the xml parser cisco adapt secur applianc asa softwar 8.4 8.4 7.28 8.6 8.6 1.17 9.0 9.0 4.33 9.1 9.1 6 9.2 9.2 3.4 9.3 9.3 3 clientless ssl vpn anyconnect ssl vpn anyconnect ikev2 vpn use allow remot attack caus denial servic vpn outag devic reload via craft xml document aka bug ID cscus95290,,f,f,f
cve-2015-0932,2015-01-10,,0.0,the antlab inngat firmwar IG 3100 IG 3101 inngat 3.00 E inngat 3.01 E inngat 3.02 E inngat 3.10 E inngat 3.01 G inngat 3.10 G devic requir authent rsync session allow remot attack read write arbitrari file via tcp traffic port 873,,f,f,f
cve-2015-1317,2015-01-22,,0.0,use-after-fre vulner oxid 1.5.6 1.6.x 1.6.1 allow remot attack caus denial servic crash possibl execut arbitrari code delet webcont renderprocesshost instanc still exist,,f,f,f
cve-2015-1432,2015-01-31,,0.0,the message_opt function includes/ucp/ucp_pm_options.php phpbb 3.0.13 properli valid form key allow remot attack conduct csrf attack chang full folder set via unspecifi vector,,f,f,f
cve-2015-1493,2015-02-05,,0.0,directori travers vulner min_get_slash_argu function lib/configonlylib.php moodl 2.5.9 2.6.x 2.6.8 2.7.x 2.7.5 2.8.x 2.8.3 allow remot authent user read arbitrari file via .. dot dot file paramet demonstr read php script,,f,f,f
cve-2015-1483,2015-02-05,,0.0,symantec netbackup opscent 7.6.0.2 7.6.1 linux unix allow remot attack execut arbitrari javascript code via unspecifi vector,,f,f,f
cve-2015-1810,2015-02-17,,0.0,the hudsonprivatesecurityrealm class jenkin 1.600 lt 1.596.1 restrict access reserv name use `` jenkin user databas '' set allow remot attack gain privileg creat reserv name,,f,f,f
cve-2015-2246,2015-03-09,,0.0,the mewidget modul huawei P7 smartphon softwar p7-l10 v100r001c00b136 earlier version could lead disclosur contact inform,,f,f,f
cve-2015-2243,2015-03-09,,0.0,directori travers vulner webshop hun 1.062 allow remot attack unspecifi impact via directori travers sequenc mappa paramet index.php,,f,f,f
cve-2015-2330,2015-03-18,,0.0,late tl certif verif webkitgtk+ prior 2.6.6 allow remot attack view secur http request includ exampl secur cooki,,f,f,f
cve-2015-2804,2015-03-30,,0.0,the manag web interfac alcatel-luc omniswitch 6450 6250 6850e 9000e 6400 6855 firmwar 6.6.4.309.r01 6.6.5.x 6.6.5.80.r02 gener weak session identifi allow remot attack hijack arbitrari session via brute forc attack,,f,f,f
cve-2015-2792,2015-03-30,,0.0,the wpml plugin 3.1.9 wordpress properli handl multipl action request allow remot attack bypass nonc check perform arbitrari action via request contain action post paramet action get paramet valid nonc action get paramet,,f,f,f
cve-2015-2823,2015-04-01,,0.0,siemen simat hmi basic panel 2nd gener wincc tia portal 13 sp1 upd2 simat hmi comfort panel wincc tia portal 13 sp1 upd2 simat wincc runtim advanc wincc tia portal 13 sp1 upd2 simat wincc runtim profession wincc tia portal 13 sp1 upd2 simat hmi basic panel 1st gener wincc tia portal simat hmi mobil panel 277 wincc tia portal simat hmi multi panel wincc tia portal simat wincc 7.x 7.3 upd4 allow remot attack complet authent leverag knowledg password hash without knowledg associ password,,f,f,f
cve-2015-3003,2015-04-07,,0.0,junip juno 12.1x44 12.1x44-d45 12.1x46 12.1x46-d30 12.1x47 12.1x47-d20 12.3 12.3r9 12.3x48 12.3x48-d10 13.2 13.2r6 13.3 13.3r5 14.1 14.1r3 14.2 14.2r1 allow local user gain privileg via craft combin cli command argument,,f,f,f
cve-2015-3234,2015-04-10,,0.0,the openid modul drupal 6.x 6.36 7.x 7.38 allow remot attack log user account leverag openid ident certain provid demonstr verisign livejourn stackexchang provid,,f,f,f
cve-2015-3280,2015-04-10,,0.0,openstack comput nova 2014.2.4 juno 2015.1.x 2015.1.2 kilo properli delet instanc comput node allow remot authent user caus denial servic disk consumpt delet instanc resiz state,,f,f,f
