CVE-ID,MITRE Assign Date,CVE Description,Label
cve-2015-0235,2014-11-18,heap-bas buffer overflow __nss_hostname_digits_dot function glibc 2.2 2.x version 2.18 allow context-depend attack execut arbitrari code via vector relat 1 gethostbynam 2 gethostbyname2 function aka `` ghost '',t
cve-2015-0779,2015-01-07,directori travers vulner uploadservlet novel zenwork configur manag zcm 10 11 11.3.2 allow remot attack execut arbitrari code via craft directori name uid paramet conjunct war filenam filenam paramet war content post data differ vulner cve-2010-5323 cve-2010-5324,t
cve-2015-0925,2015-01-10,the client ipass open mobil 2.4.5 window allow remot authent user execut arbitrari code via dll pathnam craft unicod string improperli handl subprocess reach name pipe demonstr unc share pathnam,t
cve-2015-1318,2015-01-22,the crash report featur apport 2.13 2.17.x 2.17.1 allow local user gain privileg via craft usr/share/apport/apport file namespac contain,t
cve-2015-1427,2015-01-31,the groovi script engin elasticsearch 1.3.8 1.4.x 1.4.3 allow remot attack bypass sandbox protect mechan execut arbitrari shell command via craft script,t
cve-2015-1497,2015-02-05,radexecd.ex persist system radia client autom rca 7.9 8.1 9.0 9.1 allow remot attack execut arbitrari command via craft request tcp port 3465,t
cve-2015-1486,2015-02-05,the manag consol symantec endpoint protect manag sepm 12.1 12.1-ru6-mp1 allow remot attack bypass authent via craft password-reset action trigger new administr session,t
cve-2015-1830,2015-02-17,directori travers vulner fileserv upload/download function blob messag apach activemq 5.x 5.11.2 window allow remot attack creat jsp file arbitrari directori via unspecifi vector,t
cve-2015-2281,2015-03-10,stack-bas buffer overflow collectoragent.ex fortinet singl sign On fsso build 164 allow remot attack execut arbitrari code via larg process_hello messag messag dispatch tcp port 8000,t
cve-2015-2284,2015-03-11,userlogin.jsp solarwind firewal secur manag fsm 6.6.5 hotfix1 allow remot attack gain privileg execut arbitrari code via unspecifi vector relat client session handl,t
cve-2015-2342,2015-03-18,the jmx rmi servic vmware vcenter server 5.0 u3e 5.1 u3b 5.5 u3 6.0 u1 restrict registr mbean allow remot attack execut arbitrari code via rmi protocol,t
cve-2015-2794,2015-03-30,the instal wizard dotnetnuk dnn 7.4.1 allow remot attack reinstal applic gain superus access via direct request install/installwizard.aspx,t
cve-2015-2797,2015-03-30,stack-bas buffer overflow airti air 6372 5760 5750 5650tt 5453 5444tt 5443 5442 5343 5342 5341 5021 dsl modem firmwar 1.2.0 earlier allow remot attack execut arbitrari code via long string redirect paramet cgi-bin/login,t
cve-2015-2824,2015-04-01,multipl sql inject vulner simpl ad manag plugin 2.7.97 wordpress allow remot attack execut arbitrari sql command via 1 hit paramet sam_hit action sam-ajax.php 2 cstr paramet load_post action sam-ajax-admin.php 3 searchterm paramet load_combo_data action sam-ajax-admin.php 4 subscrib 5 contributor 6 author 7 editor 8 admin 9 sadmin paramet load_us action sam-ajax-admin.php,t
cve-2015-2995,2015-04-07,the rdslogsentri servlet sysaid help desk 15.2 properli check file extens allow remot attack upload execut arbitrari file via null byte extens demonstr .war 00 file,t
cve-2015-3214,2015-04-10,the pit_ioport_read i8254.c linux kernel 2.6.33 qemu 2.3.1 distinguish read length write length might allow guest OS user execut arbitrari code host OS trigger use invalid index,t
cve-2015-3202,2015-04-10,fusermount fuse 2.9.3-15 properli clear environ invok 1 mount 2 umount root allow local user write arbitrari file via craft libmount_mtab environ variabl use mount 's debug featur,t
cve-2015-3306,2015-04-15,the mod_copi modul proftpd 1.3.5 allow remot attack read write arbitrari file via site cpfr site cpto command,t
cve-2015-3897,2015-05-12,directori travers vulner bonita bpm portal 6.5.3 allow remot attack read arbitrari file via .. dot dot theme paramet file path locat paramet bonita/portal/themeresourc,t
cve-2015-4414,2015-06-07,directori travers vulner download_audio.php SE html5 album audio player se-html5-album-audio-play plugin 1.1 earlier wordpress allow remot attack read arbitrari file via .. dot dot file paramet,t
cve-2015-4624,2015-06-16,hak5 wifi pineappl 2.0 2.3 use predict csrf token,t
cve-2015-5065,2015-06-24,absolut path travers vulner proxy.php googl currenc lookup paypal currenc convert basic for woocommerc plugin 1.4 wordpress allow remot attack read arbitrari file via full pathnam requrl paramet,t
cve-2015-5082,2015-06-26,endian firewal 3.0 allow remot attack execut arbitrari command via shell metacharact 1 new_password_1 2 new_password_2 paramet cgi-bin/chpasswd.cgi,t
cve-2015-5287,2015-07-01,the abrt-hook-ccpp help program automat bug report tool abrt 2.7.1 allow local user certain permiss gain privileg via symlink attack file predict name demonstr /var/tmp/abrt/abrt-hax-coredump /var/spool/abrt/abrt-hax-coredump,t
cve-2015-5273,2015-07-01,the abrt-action-install-debuginfo-to-abrt-cach help program automat bug report tool abrt 2.7.1 allow local user write arbitrari file via symlink attack unpacked.cpio pre-creat directori predict name /var/tmp,t
cve-2015-5452,2015-07-08,sql inject vulner watchguard xc 9.2 10.0 build 150522 allow remot attack execut arbitrari sql command via sid cooki demonstr request borderpost/imp/compose.php3,t
cve-2015-5603,2015-07-20,the hipchat jira plugin 6.30.0 atlassian jira allow remot authent user execut arbitrari java code via unspecifi vector relat `` veloc templat inject vulner '',t
cve-2015-7007,2015-09-16,script editor appl OS X 10.11.1 allow remot attack bypass intend user-confirm requir applescript execut via unspecifi vector,t
cve-2015-7243,2015-09-18,buffer overflow boxoft wav mp3 convert allow remot attack caus denial servic crash possibl execut arbitrari code via craft wav file,t
cve-2015-7387,2015-09-28,zoho manageengin eventlog analyz 10.6 build 10060 earlier allow remot attack bypass intend restrict execut arbitrari sql command via allow queri follow disallow one queri paramet event/runquery.do demonstr `` select 1 insert into '' fix build 11200,t
cve-2015-7709,2015-10-05,the arkeiad daemon arkeia backup agent western digit arkeia 11.0.12 earlier allow remot attack bypass authent execut arbitrari command via seri craft request involv arkfs_exec_cmd oper,t
cve-2015-7897,2015-10-22,the media scan function face recognit librari android.media.process samsung galaxi S6 edg g925vvru4b0g9 allow remot attack gain privileg caus denial servic memori corrupt via craft bmp imag file,t
cve-2015-7893,2015-10-22,secemailui samsung galaxi S6 sanit html email content allow remot attack execut arbitrari javascript,t
cve-2015-8103,2015-11-09,the jenkin cli subsystem jenkin 1.638 lt 1.625.2 allow remot attack execut arbitrari code via craft serial java object relat problemat webapps/root/web-inf/lib/commons-collections- .jar file `` groovi variant 'ysoseri '',t
cve-2015-8309,2015-11-20,directori travers vulner cherri music 0.36.0 allow remot authent user read arbitrari file via `` valu '' paramet `` download '',t
cve-2016-0793,2015-12-16,incomplet blacklist vulner servlet filter restrict mechan wildfli formerli jboss applic server 10.0.final window allow remot attack read sensit file 1 web-inf 2 meta-inf directori via request contain lowercas b `` meaningless '' charact,t
cve-2016-0954,2015-12-22,adob digit edit 4.5.1 allow attack execut arbitrari code caus denial servic memori corrupt via unspecifi vector,t
cve-2016-0956,2015-12-22,the servlet post compon 2.3.6 apach sling use adob experi manag 5.6.1 6.0 6.1 allow remot attack obtain sensit inform via unspecifi vector,t
cve-2015-8664,2015-12-23,integ overflow webcursor :deseri function content/common/cursors/webcursor.cc googl chrome 47.0.2526.106 allow remot attack caus denial servic possibl unspecifi impact via rgba pixel array craft dimens differ vulner cve-2015-6792,t
cve-2016-1240,2015-12-27,the tomcat init script tomcat7 packag 7.0.56-3+deb8u4 tomcat8 packag 8.0.14-1+deb8u3 debian jessi tomcat6 libtomcat6-java packag 6.0.35-1ubuntu3.8 ubuntu 12.04 lt tomcat7 libtomcat7-java packag 7.0.52-1ubuntu0.7 ubuntu 14.04 lt tomcat8 libtomcat8-java packag 8.0.32-1ubuntu1.2 ubuntu 16.04 lt allow local user access tomcat account gain root privileg via symlink attack catalina log file demonstr /var/log/tomcat7/catalina.out,t
cve-2016-1287,2016-01-04,buffer overflow ikev1 ikev2 implement cisco asa softwar 8.4 7.30 8.7 8.7 1.18 9.0 9.0 4.38 9.1 9.1 7 9.2 9.2 4.5 9.3 9.3 3.7 9.4 9.4 2.4 9.5 9.5 2.2 asa 5500 devic asa 5500-x devic asa servic modul cisco catalyst 6500 cisco 7600 devic asa 1000v devic adapt secur virtual applianc aka asav firepow 9300 asa secur modul isa 3000 devic allow remot attack execut arbitrari code caus denial servic devic reload via craft udp packet aka bug id cscux29978 cscux42019,t
cve-2016-1525,2016-01-07,directori travers vulner data/config/image.do netgear manag system nms300 1.5.0.11 earlier allow remot authent user read arbitrari file via .. dot dot realnam paramet,t
cve-2016-1531,2016-01-07,exim 4.86.2 instal setuid root allow local user gain privileg via perl_startup argument,t
cve-2016-1583,2016-01-12,the ecryptfs_privileged_open function fs/ecryptfs/kthread.c linux kernel 4.6.3 allow local user gain privileg caus denial servic stack memori consumpt via vector involv craft mmap call /proc pathnam lead recurs pagefault handl,t
cve-2016-1807,2016-01-13,race condit disk imag subsystem appl io 9.3.2 OS X 10.11.5 tvo 9.2.1 watcho 2.2.1 allow local user obtain sensit inform kernel memori via unspecifi vector,t
cve-2016-2004,2016-01-22,hpe data protector 7.03_108 8.x 8.15 9.x 9.06 allow remot attack execut arbitrari code via unspecifi vector relat lack authent note vulner exist incomplet fix cve-2014-2623,t
cve-2016-2107,2016-01-29,the aes-ni implement openssl 1.1t 1.2 1.2h consid memori alloc certain pad check allow remot attack obtain sensit cleartext inform via padding-oracl attack ae cbc session note vulner exist incorrect fix cve-2013-0169,t
cve-2016-2098,2016-01-29,action pack rubi rail 3.2.22.2 4.x 4.1.14.2 4.2.x 4.2.5.2 allow remot attack execut arbitrari rubi code leverag applic 's unrestrict use render method,t
cve-2016-2288,2016-02-09,cogent datahub 7.3.10 allow local user gain privileg leverag user guest role modifi file,t
cve-2016-2784,2016-02-29,cm made simpl 2.x 2.1.3 1.x 1.12.2 smarti cach activ allow remot attack conduct cach poison attack modifi link conduct cross-sit script xss attack via craft http host header request,t
cve-2016-3053,2016-03-09,ibm aix contain unspecifi vulner would allow local authent user obtain root level privileg,t
cve-2016-3081,2016-03-10,apach strut 2.3.19 2.3.20.2 2.3.21 2.3.24.1 2.3.25 2.3.28 dynam method invoc enabl allow remot attack execut arbitrari code via method prefix relat chain express,t
cve-2016-3087,2016-03-10,apach strut 2.3.19 2.3.20.2 2.3.21 2.3.24.1 2.3.25 2.3.28 dynam method invoc enabl allow remot attack execut arbitrari code via vector relat exclam mark oper rest plugin,t
cve-2016-3714,2016-03-30,the 1 ephemer 2 http 3 mvg 4 msl 5 text 6 show 7 win 8 plt coder imagemagick 6.9.3-10 7.x 7.0.1-1 allow remot attack execut arbitrari code via shell metacharact craft imag aka `` imagetragick '',t
cve-2016-3987,2016-04-08,the http server trend micro password manag allow remot web server execut arbitrari command via url paramet 1 api/openurlindefaultbrows 2 api/showsb,t
cve-2016-3986,2016-04-08,avast allow remot attack caus denial servic memori corrupt possibl execut arbitrari code via craft PE file relat authenticod pars,t
cve-2016-4004,2016-04-12,directori travers vulner dell openmanag server administr omsa 8.2 allow remot authent administr read arbitrari file via .. dot dot backslash file paramet viewfil,t
cve-2016-4264,2016-04-27,the offic open xml ooxml featur adob coldfus 10 updat 21 11 updat 10 allow remot attack read arbitrari file send tcp request intranet server via craft ooxml spreadsheet contain extern entiti declar conjunct entiti refer relat xml extern entiti xxe issu,t
cve-2016-4314,2016-04-27,directori travers vulner logview admin servic wso2 carbon 4.4.5 allow remot authent administr read arbitrari file via .. dot dot logfil paramet downloadgz-ajaxprocessor.jsp,t
cve-2016-4535,2016-05-05,integ signed error AV engin dat 8145 use mcafe livesaf 14.0 allow remot attack caus denial servic memori corrupt crash via craft pack execut,t
cve-2016-4558,2016-05-06,the bpf subsystem linux kernel 4.5.5 mishandl refer count allow local user caus denial servic use-after-fre possibl unspecifi impact via craft applic 1 system 32 Gb memori relat program refer count 2 1 Tb system relat map refer count,t
cve-2016-4806,2016-05-15,web2pi version 2.14.5 affect local file inclus vulner allow malici intend user read/access web server sensit file,t
cve-2016-4971,2016-05-24,gnu wget 1.18 allow remot server write arbitrari file redirect request http craft ftp resourc,t
cve-2016-5195,2016-05-31,race condit mm/gup.c linux kernel 2.x 4.x 4.8.3 allow local user gain privileg leverag incorrect handl copy-on-writ cow featur write read-onli memori map exploit wild octob 2016 aka `` dirti cow '',t
cve-2016-5228,2016-05-31,stack-bas buffer overflow playmacro function objectxmacro.objectxmacro wdmacctl.ocx micro focu rumba 9.x 9.3 HF 11997 9.4.x 9.4 HF 12815 allow remot attack execut arbitrari code via long macronam argument note refer mention cve-2016-5226 correct ID rumba vulner,t
cve-2016-5725,2016-06-18,directori travers vulner jcraft jsch 0.1.54 window mode channelsftp.overwrit allow remot sftp server write arbitrari file via .. dot dot backslash respons recurs get command,t
cve-2016-5845,2016-06-26,sap sapcar check return valu file oper extract file allow remot attack caus denial servic program crash via invalid file name archiv file aka sap secur note 2312905,t
cve-2016-6175,2016-07-06,eval inject vulner php-gettext 1.12 earlier allow remot attack execut arbitrari php code via craft plural form header,t
cve-2016-6195,2016-07-11,sql inject vulner forumrunner/includes/moderation.php vbulletin 4.2.2 patch level 5 4.2.3 patch level 1 allow remot attack execut arbitrari sql command via postid paramet forumrunner/request.php exploit wild juli 2016,t
cve-2016-6253,2016-07-20,mail.loc netbsd version 6.0 6.0.6 6.1 6.1.5 7.0 allow local user chang ownership append data arbitrari file target system via symlink attack user mailbox,t
cve-2016-6503,2016-08-01,the corba idl dissector wireshark 2.x 2.0.5 64-bit window platform properli interact visual c++ compil option allow remot attack caus denial servic applic crash via craft packet,t
cve-2016-6855,2016-08-18,eye gnome aka eog 3.16.5 3.17.x 3.18.x 3.18.3 3.19.x 3.20.x 3.20.4 use glib 2.44.1 allow remot attack caus denial servic out-of-bound write crash via vector involv pass invalid utf-8 gmarkup,t
cve-2016-7065,2016-08-23,the jmx servlet red hat jboss enterpris applic platform eap 4 5 allow remot authent user caus denial servic possibl execut arbitrari code via craft serial java object,t
cve-2016-7098,2016-08-26,race condit wget 1.17 earlier use recurs mirror mode download singl file might allow remot server bypass intend access list restrict keep http connect open,t
cve-2016-8016,2016-09-09,inform exposur intel secur virusscan enterpris linux vsel 2.0.3 earlier allow authent remot attack obtain exist unauthor file system via url paramet,t
cve-2016-7982,2016-09-09,directori travers vulner ecrire/exec/valider_xml.php spip 3.1.2 earlier allow remot attack enumer file system via var_url paramet valider_xml action,t
cve-2016-7980,2016-09-09,cross-sit request forgeri csrf vulner ecrire/exec/valider_xml.php spip 3.1.2 earlier allow remot attack hijack authent administr request execut xml valid local file via craft valider_xml request note issu combin cve-2016-7998 execut arbitrari php code,t
cve-2016-8580,2016-10-10,php object inject vulner exist multipl widget file alienvault ossim usm 5.3.2 these vulner allow arbitrari php code execut via magic method includ class,t
cve-2016-8582,2016-10-10,A vulner exist gauge.php alienvault ossim usm 5.3.2 allow attack execut arbitrari sql queri retriev databas inform read local system file via mysql 's load_fil,t
cve-2016-8581,2016-10-10,A persist xss vulner exist user-ag header login process alienvault ossim usm 5.3.2 allow attack steal session id log user current session view administr,t
cve-2016-8769,2016-10-18,huawei utp earlier utps-v200r003b015d16spc00c983 unquot servic path vulner lead truncat utp servic queri path An attack may put execut file search path affect servic obtain elev privileg execut file execut,t
cve-2016-9018,2016-10-25,improp handl repeat vrat chunk qcpfformat.dl allow attack caus null pointer derefer crash realnetwork realplay 18.1.5.705 craft .qcp media file,t
cve-2016-9150,2016-11-03,buffer overflow manag web interfac palo alto network pan-o 5.0.20 5.1.x 5.1.13 6.0.x 6.0.15 6.1.x 6.1.15 7.0.x 7.0.11 7.1.x 7.1.6 allow remot attack execut arbitrari code via unspecifi vector,t
cve-2016-9565,2016-11-22,magpierss use front-end compon nagio core 4.2.2 might allow remot attack read write arbitrari file spoof craft respons nagio rss feed server note vulner exist incomplet fix cve-2008-4796,t
cve-2016-9796,2016-12-02,alcatel-luc omnivista 8770 2.0 3.0 expos differ orb interfac queri use giop protocol tcp port 30024 An attack bypass authent omnivista invok method addjobset addjob executenow use run arbitrari command server privileg NT authority\system server note the discover state `` the vendor posit refer technic guidelin product secur deploy mitig issu mean appli proper firewal rule prevent unauthoris client connect omnivista server '',t
cve-2016-10010,2016-12-19,sshd openssh 7.4 privileg separ use creat forward unix-domain socket root might allow local user gain privileg via unspecifi vector relat serverloop.c,t
cve-2016-10009,2016-12-19,untrust search path vulner ssh-agent.c ssh-agent openssh 7.4 allow remot attack execut arbitrari local pkc 11 modul leverag control forward agent-socket,t
