CVE-ID,MITRE Assign Date,Patch Date,Exploit Date,ZDI Published Date,CVE Description,ZDI Description,Severity Score,In ZDI,Zero Day Exploit
cve-2015-0057,2014-11-18,2019-05-14 00:00:00,2015-12-18 00:00:00,,win32k.si kernel-mod driver microsoft window server 2003 sp2 window vista sp2 window server 2008 sp2 R2 sp1 window 7 sp1 window 8 window 8.1 window server 2012 gold R2 window RT gold 8.1 allow local user gain privileg via craft applic aka `` win32k elev privileg vulner '',,0,FALSE,True
cve-2015-0081,2014-11-18,2019-05-14 00:00:00,2015-03-11 00:00:00,2015-03-10,window text servic wt microsoft window server 2003 sp2 window vista sp2 window server 2008 sp2 R2 sp1 window 7 sp1 window 8 window 8.1 window server 2012 gold R2 window RT gold 8.1 allow remot attack execut arbitrari code via craft 1 web site 2 file aka `` wt remot code execut vulner '',thi vulner allow remot attack execut arbitrari code vulner instal microsoft window user interact requir exploit vulner target must visit malici page open malici file.th vulner relat window text servic process certain object By open malform document attack forc mscft.dll access memori outsid bound array An attack leverag vulner execut code context current process,6.8,TRUE,True
cve-2015-0318,2014-12-01,2015-02-06 00:00:00,2014-11-25 00:00:00,,adob flash player 13.0.269 14.x 16.x 16.0.305 window OS X 11.2.202.442 linux allow attack execut arbitrari code caus denial servic memori corrupt via unspecifi vector differ vulner cve-2015-0314 cve-2015-0316 cve-2015-0321 cve-2015-0329 cve-2015-0330,,0,FALSE,True
cve-2015-0359,2014-12-01,2015-04-15 00:00:00,2014-04-14 00:00:00,,doubl free vulner adob flash player 13.0.281 14.x 17.x 17.0.169 window OS X 11.2.202.457 linux allow attack execut arbitrari code via unspecifi vector differ vulner cve-2015-0346,,0,FALSE,True
cve-2015-1318,2015-01-22,2015-04-20 00:00:00,2015-04-14 00:00:00,,the crash report featur apport 2.13 2.17.x 2.17.1 allow local user gain privileg via craft usr/share/apport/apport file namespac contain,,0,FALSE,True
cve-2015-1427,2015-01-31,2015-02-18 00:00:00,2015-02-11 00:00:00,,the groovi script engin elasticsearch 1.3.8 1.4.x 1.4.3 allow remot attack bypass sandbox protect mechan execut arbitrari shell command via craft script,,0,FALSE,True
cve-2015-1494,2015-02-05,2015-02-18 00:00:00,2015-02-16 00:00:00,,the fancybox wordpress plugin 3.0.3 wordpress properli restrict access allow remot attack conduct cross-sit script xss attack via mfbfw paramet updat action wp-admin/admin-post.php demonstr mfbfw pad paramet exploit wild februari 2015,,0,FALSE,True
cve-2015-1676,2015-02-17,2019-05-13 00:00:00,2015-05-18 00:00:00,2015-05-12,the kernel-mod driver microsoft window server 2003 sp2 window vista sp2 window server 2008 sp2 R2 sp1 window 7 sp1 window 8 window 8.1 window server 2012 gold R2 window RT gold 8.1 allow local user bypass aslr protect mechan via craft function call aka `` microsoft window kernel memori disclosur vulner '' differ vulner cve-2015-1677 cve-2015-1678 cve-2015-1679 cve-2015-1680,thi vulner allow local attack leak sensit inform vulner instal microsoft window user interact requir exploit vulner target must visit malici page open malici file.th specif flaw exist within handl ntusergettitlebarinfo function the issu lie failur sanit buffer return content result leak kernel address An attack leverag togeth anoth vulner achiev code execut system,4.9,TRUE,True
cve-2015-1721,2015-02-17,2019-05-14 00:00:00,2015-09-22 00:00:00,,the kernel-mod driver microsoft window server 2003 sp2 R2 sp2 window vista sp2 window server 2008 sp2 R2 sp1 window 7 sp1 window 8 window 8.1 window server 2012 gold R2 window RT gold 8.1 allow local user gain privileg caus denial servic null pointer derefer system crash via craft applic aka `` win32k null pointer derefer vulner '',,0,FALSE,True
cve-2015-1722,2015-02-17,2019-05-13 00:00:00,2015-09-22 00:00:00,,use-after-fre vulner kernel-mod driver microsoft window server 2003 sp2 R2 sp2 window vista sp2 window server 2008 sp2 R2 sp1 window 7 sp1 window 8 window 8.1 window server 2012 gold R2 window RT gold 8.1 allow local user gain privileg via craft applic aka `` microsoft window kernel bitmap handl use after free vulner '',,0,FALSE,True
cve-2015-1723,2015-02-17,2019-05-14 00:00:00,2015-09-22 00:00:00,,use-after-fre vulner kernel-mod driver microsoft window server 2003 sp2 R2 sp2 window vista sp2 window server 2008 sp2 R2 sp1 window 7 sp1 window 8 window 8.1 window server 2012 gold R2 window RT gold 8.1 allow local user gain privileg via craft applic aka `` microsoft window station use after free vulner '',,0,FALSE,True
cve-2015-1724,2015-02-17,2019-05-14 00:00:00,2015-09-22 00:00:00,,use-after-fre vulner kernel-mod driver microsoft window server 2003 sp2 R2 sp2 window vista sp2 window server 2008 sp2 R2 sp1 window 7 sp1 window 8 window 8.1 window server 2012 gold R2 window RT gold 8.1 allow local user gain privileg via craft applic aka `` microsoft window kernel object use after free vulner '',,0,FALSE,True
cve-2015-1725,2015-02-17,2019-05-15 00:00:00,2015-09-22 00:00:00,,buffer overflow kernel-mod driver microsoft window server 2003 sp2 R2 sp2 window vista sp2 window server 2008 sp2 R2 sp1 window 7 sp1 window 8 window 8.1 window server 2012 gold R2 window RT gold 8.1 allow local user gain privileg via craft applic aka `` win32k buffer overflow vulner '',,0,FALSE,True
cve-2015-1726,2015-02-17,2019-05-15 00:00:00,2015-09-22 00:00:00,,use-after-fre vulner kernel-mod driver microsoft window server 2003 sp2 R2 sp2 window vista sp2 window server 2008 sp2 R2 sp1 window 7 sp1 window 8 window 8.1 window server 2012 gold R2 window RT gold 8.1 allow local user gain privileg via craft applic aka `` microsoft window kernel brush object use after free vulner '',,0,FALSE,True
cve-2015-1727,2015-02-17,2019-05-14 00:00:00,2015-09-22 00:00:00,,buffer overflow kernel-mod driver microsoft window server 2003 sp2 R2 sp2 window vista sp2 window server 2008 sp2 R2 sp1 window 7 sp1 window 8 window 8.1 window server 2012 gold R2 window RT gold 8.1 allow local user gain privileg via craft applic aka `` win32k pool buffer overflow vulner '',,0,FALSE,True
