CVE-ID,MITRE Assign Date,CVE Description,Label
cve-2015-0149,2014-11-18,the develop portal ibm api manag 3.0 3.0.4.1 properli restrict access public privat api allow remot authent user obtain sensit inform modifi data via unspecifi api call,f
cve-2015-0215,2014-11-18,calendar/externallib.php moodl 2.5.9 2.6.x 2.6.7 2.7.x 2.7.4 2.8.x 2.8.2 allow remot authent user obtain sensit calendar-ev inform via web-servic request,f
cve-2015-0218,2014-11-18,cross-sit request forgeri csrf vulner auth/shibboleth/logout.php moodl 2.5.9 2.6.x 2.6.7 2.7.x 2.7.4 2.8.x 2.8.2 allow remot attack hijack authent arbitrari user request trigger logout,f
cve-2015-0214,2014-11-18,message/externallib.php moodl 2.5.9 2.6.x 2.6.7 2.7.x 2.7.4 2.8.x 2.8.2 allow remot authent user bypass messaging-dis set via web-servic request demonstr people-search request,f
cve-2015-0212,2014-11-18,cross-sit script xss vulner course/pending.php moodl 2.5.9 2.6.x 2.6.7 2.7.x 2.7.4 2.8.x 2.8.2 allow remot authent user inject arbitrari web script html via craft cours summari,f
cve-2015-0213,2014-11-18,multipl cross-sit request forgeri csrf vulner 1 editcategories.html 2 editcategories.php glossari modul moodl 2.5.9 2.6.x 2.6.7 2.7.x 2.7.4 2.8.x 2.8.2 allow remot attack hijack authent unspecifi victim,f
cve-2015-0216,2014-11-18,access.php lesson modul moodl 2.8.x 2.8.2 set risk_xss bit grader allow remot authent user conduct cross-sit script xss attack via craft essay feedback,f
cve-2015-0211,2014-11-18,mod/lti/ajax.php moodl 2.5.9 2.6.x 2.6.7 2.7.x 2.7.4 2.8.x 2.8.2 consid moodle/cours manageact mod/lti addinst capabl proceed registered-tool list search allow remot authent user obtain sensit inform via request lti ajax servic,f
cve-2015-0121,2014-11-18,ibm ration requir compos 3.0 3.0.1.6 4.0 4.0.7 ration door next gener rdng 4.0 4.0.7 5.0 5.0.2 ltpa singl sign use webspher applic server termin requir manag RM session upon ltpa token expir allow remot attack obtain access leverag unattend workstat,f
cve-2015-0193,2014-11-18,cross-sit script xss vulner ibm busi process manag bpm 7.5.x 7.5.1.2 8.0.x 8.0.1.3 8.5.x 8.5.5.0 webspher lombardi edit wle 7.2.x 7.2.0.5 allow remot authent user inject arbitrari web script html via craft url trigger error condit,f
cve-2015-0200,2014-11-18,ibm webspher commerc 6.x 6.0.11 7.x 7.0.8 if2 allow local user obtain sensit databas inform via unspecifi vector,f
cve-2015-0109,2014-11-18,cross-sit script xss vulner ibm maximo asset manag 7.1 7.1.1.8 maximo asset manag 7.1 7.1.1.8 7.2 tivoli IT asset manag IT certain product allow remot authent user inject arbitrari web script html via unspecifi vector differ vulner cve-2015-0104 cve-2015-0107 cve-2015-0108,f
cve-2015-0108,2014-11-18,cross-sit script xss vulner ibm maximo asset manag 7.1 7.1.1.8 maximo asset manag 7.1 7.1.1.8 7.2 tivoli IT asset manag IT certain product allow remot authent user inject arbitrari web script html via unspecifi vector differ vulner cve-2015-0104 cve-2015-0107 cve-2015-0109,f
cve-2015-0180,2014-11-18,the connector migrat tool ibm infospher inform server 8.1 11.3 allow remot authent user bypass intend restrict job creation modif via unspecifi vector,f
cve-2015-0217,2014-11-18,filter/mediaplugin/filter.php moodl 2.5.9 2.6.x 2.6.7 2.7.x 2.7.4 2.8.x 2.8.2 allow remot authent user caus denial servic cpu consumpt partial outag via craft string match improp regular express,f
cve-2015-0170,2014-11-18,ibm secur siteprotector system 3.0 3.0.7 3.1 3.1.4 3.1.1 3.1.1.2 allow local user obtain sensit inform read cach data,f
cve-2015-0160,2014-11-18,ibm secur siteprotector system 3.0 3.0.7 3.1 3.1.4 3.1.1 3.1.1.2 allow remot authent user execut arbitrari command system privileg via unspecifi vector,f
cve-2015-0135,2014-11-18,ibm domino 8.5 8.5.3 fp6 if4 9.0 9.0.1 fp3 if2 allow remot attack execut arbitrari code caus denial servic integ truncat applic crash via craft gif imag aka spr klyh9t7nt9,f
cve-2015-0169,2014-11-18,ibm secur siteprotector system 3.0 3.0.7 3.1 3.1.4 3.1.1 3.1.1.2 allow remot authent user inject argument via unspecifi vector,f
cve-2015-0171,2014-11-18,directori travers vulner ibm secur siteprotector system 3.0 3.0.7 3.1 3.1.4 3.1.1 3.1.1.2 allow remot authent user write arbitrari file via unspecifi vector,f
cve-2015-0156,2014-11-18,cross-sit script xss vulner ibm busi process manag bpm 7.5.x 7.5.1.2 8.0.x 8.0.1.3 8.5.x 8.5.6.0 webspher lombardi edit wle 7.2.x 7.2.0.5 allow remot authent user inject arbitrari web script html via craft url,f
cve-2015-0161,2014-11-18,sql inject vulner ibm secur siteprotector system 3.0 3.0.7 3.1 3.1.4 3.1.1 3.1.1.2 allow remot authent user execut arbitrari sql command via unspecifi vector,f
cve-2015-0140,2014-11-18,An unspecifi activex control ibm spss statist 22.0 fp1 32-bit platform allow remot attack execut arbitrari code via craft html document,f
cve-2015-0247,2014-11-18,heap-bas buffer overflow openfs.c libext2f librari e2fsprog 1.42.12 allow local user execut arbitrari code via craft block group descriptor data filesystem imag,f
cve-2015-0120,2014-11-18,buffer overflow fastbackmount process ibm tivoli storag manag fastback 6.1 6.1.11.1 unspecifi impact remot attack vector,f
