CVE-ID,MITRE Assign Date,CVE Description,Label
cve-2015-0235,2014-11-18,heap-bas buffer overflow __nss_hostname_digits_dot function glibc 2.2 2.x version 2.18 allow context-depend attack execut arbitrari code via vector relat 1 gethostbynam 2 gethostbyname2 function aka `` ghost '',t
cve-2015-0064,2014-11-18,microsoft word 2007 sp3 offic 2010 sp2 word 2010 sp2 word autom servic sharepoint server 2010 web applic 2010 sp2 word viewer offic compat pack sp3 allow remot attack execut arbitrari code caus denial servic memori corrupt via craft offic document aka `` offic remot code execut vulner '',t
cve-2015-0040,2014-11-18,microsoft internet explor 11 allow remot attack execut arbitrari code caus denial servic memori corrupt via craft web site aka `` internet explor memori corrupt vulner '' differ vulner cve-2015-0018 cve-2015-0037 cve-2015-0066,t
cve-2015-0050,2014-11-18,microsoft internet explor 8 9 allow remot attack execut arbitrari code caus denial servic memori corrupt via craft web site aka `` internet explor memori corrupt vulner '' differ vulner cve-2014-8967 cve-2015-0044,t
cve-2015-0065,2014-11-18,microsoft word 2007 sp3 allow remot attack execut arbitrari code caus denial servic memori corrupt via craft offic document aka `` onetabledocumentstream remot code execut vulner '',t
cve-2015-0057,2014-11-18,win32k.si kernel-mod driver microsoft window server 2003 sp2 window vista sp2 window server 2008 sp2 R2 sp1 window 7 sp1 window 8 window 8.1 window server 2012 gold R2 window RT gold 8.1 allow local user gain privileg via craft applic aka `` win32k elev privileg vulner '',t
cve-2015-0081,2014-11-18,window text servic wt microsoft window server 2003 sp2 window vista sp2 window server 2008 sp2 R2 sp1 window 7 sp1 window 8 window 8.1 window server 2012 gold R2 window RT gold 8.1 allow remot attack execut arbitrari code via craft 1 web site 2 file aka `` wt remot code execut vulner '',t
cve-2015-0002,2014-11-18,the ahcverifyadmincontext function ahcache.si applic compat compon microsoft window 7 sp1 window server 2008 R2 sp1 window 8 window 8.1 window server 2012 gold R2 window RT gold 8.1 verifi imperson token associ administr account allow local user gain privileg run appcompatcache.ex craft dll file aka msrc ID 20544 `` microsoft applic compat infrastructur elev privileg vulner '',t
cve-2015-0016,2014-11-18,directori travers vulner TS webproxi aka tswbprxi compon microsoft window vista sp2 window 7 sp1 window server 2008 R2 sp1 window 8 window 8.1 window server 2012 gold R2 window RT gold 8.1 allow remot attack gain privileg via craft pathnam execut file demonstr transit low integr medium integr aka `` directori travers elev privileg vulner '',t
cve-2015-0004,2014-11-18,the user profil servic aka profsvc microsoft window server 2003 sp2 window vista sp2 window server 2008 sp2 R2 sp1 window 7 sp1 window 8 window 8.1 window server 2012 gold R2 window RT gold 8.1 allow local user gain privileg conduct junction attack load anoth user 's usrclass.dat registri hive aka msrc ID 20674 `` microsoft user profil servic elev privileg vulner '',t
cve-2015-0318,2014-12-01,adob flash player 13.0.269 14.x 16.x 16.0.305 window OS X 11.2.202.442 linux allow attack execut arbitrari code caus denial servic memori corrupt via unspecifi vector differ vulner cve-2015-0314 cve-2015-0316 cve-2015-0321 cve-2015-0329 cve-2015-0330,t
cve-2015-0359,2014-12-01,doubl free vulner adob flash player 13.0.281 14.x 17.x 17.0.169 window OS X 11.2.202.457 linux allow attack execut arbitrari code via unspecifi vector differ vulner cve-2015-0346,t
cve-2015-0802,2015-01-07,mozilla firefox 37.0 reli docshel type inform instead page princip inform window.webidl access control might allow remot attack execut arbitrari javascript code chrome privileg via certain content navig leverag reachabl privileg window unintend persist access restrict intern method,t
cve-2015-0779,2015-01-07,directori travers vulner uploadservlet novel zenwork configur manag zcm 10 11 11.3.2 allow remot attack execut arbitrari code via craft directori name uid paramet conjunct war filenam filenam paramet war content post data differ vulner cve-2010-5323 cve-2010-5324,t
cve-2015-0925,2015-01-10,the client ipass open mobil 2.4.5 window allow remot authent user execut arbitrari code via dll pathnam craft unicod string improperli handl subprocess reach name pipe demonstr unc share pathnam,t
cve-2015-1158,2015-01-16,the add_job function scheduler/ipp.c cupsd cup 2.0.3 perform incorrect free oper multiple-valu job-originating-host-nam attribut allow remot attack trigger data corrupt reference-count string via craft 1 ipp_create_job 2 ipp_print_job request demonstr replac configur file consequ execut arbitrari code,t
cve-2015-1130,2015-01-16,the xpc implement admin framework appl OS X 10.10.3 allow local user bypass authent obtain admin privileg via unspecifi vector,t
cve-2015-1057,2015-01-16,cross-sit script xss vulner usersettings.php e107 2.0 allow remot attack inject arbitrari web script html via `` real name '' valu,t
cve-2015-1318,2015-01-22,the crash report featur apport 2.13 2.17.x 2.17.1 allow local user gain privileg via craft usr/share/apport/apport file namespac contain,t
cve-2015-1328,2015-01-22,the overlayf implement linux aka linux kernel packag 3.19.0-21.21 ubuntu 15.04 properli check permiss file creation upper filesystem directori allow local user obtain root access leverag configur overlayf permit arbitrari mount namespac,t
cve-2015-1371,2015-01-27,unrestrict file upload vulner ferretcm 1.4-alpha allow remot administr execut arbitrari code upload file execut extens access via direct request file custom/uploads/,t
cve-2015-1427,2015-01-31,the groovi script engin elasticsearch 1.3.8 1.4.x 1.4.3 allow remot attack bypass sandbox protect mechan execut arbitrari shell command via craft script,t
cve-2015-1497,2015-02-05,radexecd.ex persist system radia client autom rca 7.9 8.1 9.0 9.1 allow remot attack execut arbitrari command via craft request tcp port 3465,t
cve-2015-1486,2015-02-05,the manag consol symantec endpoint protect manag sepm 12.1 12.1-ru6-mp1 allow remot attack bypass authent via craft password-reset action trigger new administr session,t
cve-2015-1494,2015-02-05,the fancybox wordpress plugin 3.0.3 wordpress properli restrict access allow remot attack conduct cross-sit script xss attack via mfbfw paramet updat action wp-admin/admin-post.php demonstr mfbfw pad paramet exploit wild februari 2015,t
