CVE-ID,MITRE Assign Date,CVE Description,Label
cve-2015-0112,2014-11-18,jazz team server jazz foundat ibm ration collabor lifecycl manag clm 3.0.1 4.x 4.0.7 if5 5.x 5.0.2 if4 ration qualiti manag rqm 2.0 2.0.1 3.0 3.0.1.6 4.0 4.0.7 5.0 5.0.2 ration team concert rtc 2.0 2.0.2 3.x 3.0.1.6 if6 4.x 4.0.7 if5 5.x 5.0.2 if4 ration requir compos rrc 2.0 2.0.4 3.x 3.0.1.6 if6 4.0 4.0.7 ration door next gener rdng 4.x 4.0.7 if5 5.x 5.0.2 if4 ration engin lifecycl manag relm 1 1.1 4.0.3 4.0.7 5.0 5.0.2 ration rhapsodi design manag DM 3.0 3.0.1 4.0 4.0.7 5.0 5.0.2 ration softwar architect design manag rsa DM 3.0 3.0.1 4.0 4.0.7 5.0 5.0.2 allow remot authent user read arbitrari file via xml extern entiti declar conjunct entiti refer relat xml extern entiti xxe issu,f
cve-2015-0113,2014-11-18,the jazz help system ibm ration collabor lifecycl manag 4.0 5.0.2 ration qualiti manag 4.0 4.0.7 5.0 5.0.2 ration team concert 4.0 4.0.7 5.0 5.0.2 ration requir compos 4.0 4.0.7 ration door next gener 4.0 4.0.7 5.0 5.0.2 ration engin lifecycl manag 4.0.3 4.0.7 5.0 5.0.2 ration rhapsodi design manag 4.0 4.0.7 5.0 5.0.2 ration softwar architect design manag 4.0 4.0.7 5.0 5.0.2 allow remot attack read jsp sourc code via craft request,f
cve-2015-0120,2014-11-18,buffer overflow fastbackmount process ibm tivoli storag manag fastback 6.1 6.1.11.1 unspecifi impact remot attack vector,f
cve-2015-0119,2014-11-18,fastback mount ibm tivoli storag manag fastback 6.1.x 6.1.11.1 allow remot attack execut arbitrari code connect mount port,f
cve-2015-0141,2014-11-18,ibm openpag grc platform 6.2 if7 6.2.1 6.2.1.1 if5 7.0 fp4 7.1 fp1 allow remot authent user modifi arbitrari user filter via json request,f
cve-2015-0272,2014-11-18,gnome networkmanag allow remot attack caus denial servic ipv6 traffic disrupt via craft mtu valu ipv6 router advertis RA messag differ vulner cve-2015-8215,f
cve-2015-0285,2014-11-18,the ssl3_client_hello function s3_clnt.c openssl 1.2 1.2a ensur prng seed proceed handshak make easier remot attack defeat cryptograph protect mechan snif network conduct brute-forc attack,f
cve-2015-0213,2014-11-18,multipl cross-sit request forgeri csrf vulner 1 editcategories.html 2 editcategories.php glossari modul moodl 2.5.9 2.6.x 2.6.7 2.7.x 2.7.4 2.8.x 2.8.2 allow remot attack hijack authent unspecifi victim,f
cve-2015-0218,2014-11-18,cross-sit request forgeri csrf vulner auth/shibboleth/logout.php moodl 2.5.9 2.6.x 2.6.7 2.7.x 2.7.4 2.8.x 2.8.2 allow remot attack hijack authent arbitrari user request trigger logout,f
cve-2015-0041,2014-11-18,microsoft internet explor 6 11 allow remot attack execut arbitrari code caus denial servic memori corrupt via craft web site aka `` internet explor memori corrupt vulner '' differ vulner cve-2015-0017 cve-2015-0020 cve-2015-0022 cve-2015-0026 cve-2015-0030 cve-2015-0031 cve-2015-0036,f
cve-2015-0343,2014-12-01,cross-sit script xss vulner admin/home/homepage/search web app adob connect 9.4 allow remot attack inject arbitrari web script html via queri paramet,f
cve-2015-0353,2014-12-01,adob flash player 13.0.281 14.x 17.x 17.0.169 window OS X 11.2.202.457 linux allow attack execut arbitrari code caus denial servic memori corrupt via unspecifi vector differ vulner cve-2015-0347 cve-2015-0350 cve-2015-0352 cve-2015-0354 cve-2015-0355 cve-2015-0360 cve-2015-3038 cve-2015-3041 cve-2015-3042 cve-2015-3043,f
