cve,zdi_date,published_date,date_diff
cve-2016-1749,3/22/2016,3/23/2016,-1
cve-2016-7863,11/8/2016,11/8/2016,0
cve-2016-7864,11/8/2016,11/8/2016,0
cve-2012-0668,6/6/2012,5/15/2012,22
cve-2016-3222,6/22/2016,6/15/2016,7
cve-2010-0059,4/2/2010,3/30/2010,3
cve-2013-3194,8/13/2013,8/14/2013,-1
cve-2016-0860,2/5/2016,1/14/2016,22
cve-2016-0858,2/5/2016,1/14/2016,22
cve-2012-2019,7/12/2012,7/10/2012,2
cve-2009-1531,6/10/2009,6/10/2009,0
cve-2009-1701,6/8/2009,6/10/2009,-2
cve-2013-6221,6/11/2014,6/18/2014,-7
cve-2010-0268,4/13/2010,4/14/2010,-1
cve-2010-4375,12/10/2010,12/14/2010,-4
cve-2010-4389,12/10/2010,12/14/2010,-4
cve-2015-0099,3/10/2015,3/11/2015,-1
cve-2015-8571,12/8/2015,12/15/2015,-7
cve-2010-1396,6/8/2010,6/11/2010,-3
cve-2013-3706,4/3/2014,3/6/2014,28
cve-2009-3799,12/9/2009,12/10/2009,-1
cve-2011-1260,6/14/2011,6/16/2011,-2
cve-2011-2653,12/7/2011,12/8/2011,-1
cve-2011-1220,5/31/2011,6/2/2011,-2
cve-2011-1206,4/18/2011,4/21/2011,-3
cve-2011-1248,5/10/2011,5/13/2011,-3
cve-2011-2433,10/26/2011,9/15/2011,41
cve-2010-2779,7/20/2010,1/28/2011,-192
cve-2011-0591,2/8/2011,2/10/2011,-2
cve-2014-0767,4/10/2014,4/11/2014,-1
cve-2014-1371,7/18/2014,7/1/2014,17
cve-2011-2127,12/17/2011,6/16/2011,184
cve-2010-3600,1/18/2011,1/19/2011,-1
cve-2011-0066,5/10/2011,5/7/2011,3
cve-2014-4095,9/16/2014,9/9/2014,7
cve-2011-0247,8/16/2011,8/3/2011,13
cve-2011-0269,1/10/2011,1/13/2011,-3
cve-2014-4063,8/12/2014,8/12/2014,0
cve-2011-1033,2/7/2011,2/14/2011,-7
cve-2014-0786,5/2/2014,4/30/2014,2
cve-2011-2432,10/26/2011,9/15/2011,41
cve-2011-2434,10/26/2011,9/15/2011,41
cve-2014-0270,2/13/2014,2/11/2014,2
cve-2014-0275,2/13/2014,2/11/2014,2
cve-2011-3248,12/7/2011,10/27/2011,41
cve-2011-2735,8/23/2011,8/23/2011,0
cve-2010-4452,2/15/2011,2/17/2011,-2
cve-2014-6351,11/19/2014,11/11/2014,8
cve-2014-6369,2/25/2015,12/10/2014,77
cve-2009-0410,2/2/2009,2/3/2009,-1
cve-2014-9371,12/11/2014,12/16/2014,-5
cve-2014-9266,12/4/2014,12/8/2014,-4
cve-2014-4391,10/24/2014,10/17/2014,7
cve-2011-0549,7/7/2011,7/11/2011,-4
cve-2011-0554,10/18/2011,10/1/2011,17
cve-2011-0593,2/8/2011,2/10/2011,-2
cve-2011-0599,2/8/2011,2/10/2011,-2
cve-2011-0926,2/28/2011,2/25/2011,3
cve-2014-0432,4/21/2014,4/15/2014,6
cve-2010-2777,7/16/2010,1/28/2011,-196
cve-2016-4648,8/29/2016,7/21/2016,39
cve-2011-1388,2/8/2012,12/23/2011,47
cve-2014-0457,4/21/2014,4/15/2014,6
cve-2014-8424,11/25/2014,11/28/2014,-3
cve-2013-5048,12/15/2013,12/10/2013,5
cve-2012-0202,6/27/2012,5/4/2012,54
cve-2012-0122,6/21/2012,3/13/2012,100
cve-2013-5400,4/3/2014,2/13/2014,49
cve-2014-0226,7/16/2014,7/20/2014,-4
cve-2013-6213,4/17/2014,4/18/2014,-1
cve-2011-4373,2/8/2012,1/10/2012,29
cve-2014-1765,7/9/2014,4/27/2014,73
cve-2014-1766,6/11/2014,4/27/2014,45
cve-2014-1799,6/11/2014,6/10/2014,1
cve-2014-2490,7/18/2014,7/16/2014,2
cve-2014-2764,7/23/2014,6/10/2014,43
cve-2014-5503,10/1/2014,10/7/2014,-6
cve-2014-3790,5/30/2014,5/31/2014,-1
cve-2014-4058,8/12/2014,8/12/2014,0
cve-2014-4249,7/18/2014,7/17/2014,1
cve-2012-0928,12/21/2012,2/8/2012,317
cve-2015-2498,9/8/2015,9/8/2015,0
cve-2009-0953,6/2/2009,6/2/2009,0
cve-2014-8756,10/14/2014,10/17/2014,-3
cve-2014-8002,12/3/2014,11/25/2014,8
cve-2014-8508,11/3/2014,11/6/2014,-3
cve-2014-0274,2/13/2014,2/11/2014,2
cve-2014-1803,10/14/2014,6/10/2014,126
cve-2014-2365,7/18/2014,7/18/2014,0
cve-2014-2949,8/12/2014,6/18/2014,55
cve-2015-8572,12/8/2015,12/15/2015,-7
cve-2014-7890,3/12/2015,3/9/2015,3
cve-2015-6460,9/16/2015,9/18/2015,-2
cve-2015-4648,6/24/2015,7/6/2015,-12
cve-2015-0444,3/13/2015,7/16/2015,-125
cve-2015-6142,12/8/2015,12/9/2015,-1
cve-2014-4477,1/27/2015,1/30/2015,-3
cve-2015-1659,4/15/2015,4/14/2015,1
cve-2015-1679,5/12/2015,5/13/2015,-1
