assign_date,cve_id,cwe_id,cve_publish_date,cvss2_accesscomplexity,cvss2_accessvector,cvss2_authentication,cvss2_availabilityimpact,cvss2_basescore,cvss2_confidentialityimpact,cvss2_exploitabilityscore,cvss2_impactscore,cvss2_integrityimpact,cvss2_obtainallprivilege,cvss2_obtainotherprivilege,cvss2_obtainuserprivilege,cvss2_severity,cvss2_userinteractionrequired,num_of_affected_cpe,num_of_reference,nvd_poc_link,train_label,assign_to_publish,dw_users,dw_post,reference_tag,reference_source,cpe_products,cpe_vendors,cve_description
2014-12-01,CVE-2015-0306,NVD-CWE-noinfo,2015-01-13,LOW,NETWORK,NONE,COMPLETE,10,COMPLETE,10,10,COMPLETE,f,f,f,HIGH,f,25,10,f,f,43,0,0,linux_kernel adobe_air_sdk_and_compiler mac_os_x flash_player windows adobe_air_sdk adobe_air,linux adobe microsoft apple,SECUNIA XF BID SECTRACK CONFIRM GENTOO, Patch Vendor Advisory,"Adobe Flash Player before 13.0.260 and 14.x through 16.x before 16.0.257 on Windows and OS X and before 11.2.202.429 on Linux, Adobe AIR before 16.0.245 on Windows and OS X and before 16.0.272 on Android, Adobe AIR SDK before 16.0.272, and Adobe AIR SDK & Compiler before 16.0.272 allow attackers to execute arbitrary code or cause a denial of service (memory corruption) via unspecified vectors, a different vulnerability than CVE-2015-0303."
2014-12-01,CVE-2015-0305,NVD-CWE-noinfo,2015-01-13,MEDIUM,NETWORK,NONE,COMPLETE,9.3,COMPLETE,8.6,10,COMPLETE,f,f,f,HIGH,f,25,10,f,f,43,0,0,linux_kernel adobe_air_sdk_and_compiler mac_os_x flash_player windows adobe_air_sdk adobe_air,linux adobe microsoft apple,SECUNIA XF BID SECTRACK CONFIRM GENTOO,na,"Adobe Flash Player before 13.0.260 and 14.x through 16.x before 16.0.257 on Windows and OS X and before 11.2.202.429 on Linux, Adobe AIR before 16.0.245 on Windows and OS X and before 16.0.272 on Android, Adobe AIR SDK before 16.0.272, and Adobe AIR SDK & Compiler before 16.0.272 allow attackers to execute arbitrary code by leveraging an unspecified ""type confusion."""
2014-12-01,CVE-2015-0302,NVD-CWE-noinfo,2015-01-13,LOW,NETWORK,NONE,NONE,5,PARTIAL,10,2.9,NONE,f,f,f,MEDIUM,f,25,10,f,f,43,0,0,linux_kernel adobe_air_sdk_and_compiler mac_os_x flash_player windows adobe_air_sdk adobe_air,linux adobe microsoft apple,SECUNIA XF BID SECTRACK CONFIRM GENTOO, Vendor Advisory,"Adobe Flash Player before 13.0.260 and 14.x through 16.x before 16.0.257 on Windows and OS X and before 11.2.202.429 on Linux, Adobe AIR before 16.0.245 on Windows and OS X and before 16.0.272 on Android, Adobe AIR SDK before 16.0.272, and Adobe AIR SDK & Compiler before 16.0.272 allow attackers to obtain sensitive keystroke information via unspecified vectors."
2014-12-01,CVE-2015-0303,NVD-CWE-noinfo,2015-01-13,LOW,NETWORK,NONE,COMPLETE,10,COMPLETE,10,10,COMPLETE,f,f,f,HIGH,f,25,10,f,f,43,0,0,linux_kernel adobe_air_sdk_and_compiler mac_os_x flash_player windows adobe_air_sdk adobe_air,linux adobe microsoft apple,SECUNIA XF BID SECTRACK CONFIRM GENTOO, Patch Vendor Advisory,"Adobe Flash Player before 13.0.260 and 14.x through 16.x before 16.0.257 on Windows and OS X and before 11.2.202.429 on Linux, Adobe AIR before 16.0.245 on Windows and OS X and before 16.0.272 on Android, Adobe AIR SDK before 16.0.272, and Adobe AIR SDK & Compiler before 16.0.272 allow attackers to execute arbitrary code or cause a denial of service (memory corruption) via unspecified vectors, a different vulnerability than CVE-2015-0306."
2014-12-01,CVE-2015-0310,CWE-264,2015-01-23,LOW,NETWORK,NONE,COMPLETE,10,COMPLETE,10,10,COMPLETE,f,f,f,HIGH,f,17,8,f,t,53,34,22,flash_player linux_kernel windows mac_os_x,linux adobe microsoft apple,SECUNIA BID SECTRACK CONFIRM GENTOO, Patch Vendor Advisory,"Adobe Flash Player before 13.0.262 and 14.x through 16.x before 16.0.287 on Windows and OS X and before 11.2.202.438 on Linux does not properly restrict discovery of memory addresses, which allows attackers to bypass the ASLR protection mechanism on Windows, and have an unspecified impact on other platforms, via unknown vectors, as exploited in the wild in January 2015."
2014-12-01,CVE-2015-0311,NVD-CWE-noinfo,2015-01-23,LOW,NETWORK,NONE,COMPLETE,10,COMPLETE,10,10,COMPLETE,f,f,f,HIGH,f,18,14,f,t,53,102,65,flash_player linux_kernel windows mac_os_x,linux adobe microsoft apple,SECUNIA BID SECTRACK CONFIRM SUSE MISC GENTOO, Patch Vendor Advisory,"Unspecified vulnerability in Adobe Flash Player through 13.0.262 and 14.x, 15.x, and 16.x through 16.0.287 on Windows and OS X and through 11.2.202.438 on Linux allows remote attackers to execute arbitrary code via unknown vectors, as exploited in the wild in January 2015."
2014-12-01,CVE-2015-0312,CWE-415,2015-01-28,MEDIUM,NETWORK,NONE,COMPLETE,9.3,COMPLETE,8.6,10,COMPLETE,f,f,f,HIGH,t,17,8,f,t,58,2,2,linux_kernel internet_explorer windows_8 mac_os flash_player flash_player_desktop_runtime windows windows_8.1,linux adobe microsoft apple,SECUNIA XF BID SECTRACK CONFIRM,Third Party Advisory Third Party Advisory VDB Entry Patch Vendor Advisory,Double free vulnerability in Adobe Flash Player before 13.0.264 and 14.x through 16.x before 16.0.296 on Windows and OS X and before 11.2.202.440 on Linux allows attackers to execute arbitrary code via unspecified vectors.
2014-12-01,CVE-2015-0313,NVD-CWE-noinfo,2015-02-02,LOW,NETWORK,NONE,COMPLETE,10,COMPLETE,10,10,COMPLETE,f,f,f,HIGH,f,19,16,f,t,63,44,30,flash_player linux_kernel windows mac_os_x,linux adobe microsoft apple,SECUNIA XF BID SECTRACK CONFIRM SUSE MISC OSVDB EXPLOIT-DB, Vendor Advisory,"Use-after-free vulnerability in Adobe Flash Player before 13.0.269 and 14.x through 16.x before 16.0.305 on Windows and OS X and before 11.2.202.442 on Linux allows remote attackers to execute arbitrary code via unspecified vectors, as exploited in the wild in February 2015, a different vulnerability than CVE-2015-0315, CVE-2015-0320, and CVE-2015-0322."
2014-12-01,CVE-2015-0321,NVD-CWE-noinfo,2015-02-06,LOW,NETWORK,NONE,COMPLETE,10,COMPLETE,10,10,COMPLETE,f,f,f,HIGH,f,19,14,f,f,67,0,0,flash_player linux_kernel windows mac_os_x,linux adobe microsoft apple,REDHAT SECUNIA XF BID SECTRACK CONFIRM SUSE GENTOO, Patch Vendor Advisory,"Adobe Flash Player before 13.0.269 and 14.x through 16.x before 16.0.305 on Windows and OS X and before 11.2.202.442 on Linux allows attackers to execute arbitrary code or cause a denial of service (memory corruption) via unspecified vectors, a different vulnerability than CVE-2015-0314, CVE-2015-0316, CVE-2015-0318, CVE-2015-0329, and CVE-2015-0330."
2014-12-01,CVE-2015-0322,NVD-CWE-Other,2015-02-06,LOW,NETWORK,NONE,COMPLETE,10,COMPLETE,10,10,COMPLETE,f,f,f,HIGH,f,19,14,f,f,67,0,0,flash_player linux_kernel windows mac_os_x,linux adobe microsoft apple,REDHAT SECUNIA XF BID SECTRACK CONFIRM SUSE GENTOO, Patch Vendor Advisory,"Use-after-free vulnerability in Adobe Flash Player before 13.0.269 and 14.x through 16.x before 16.0.305 on Windows and OS X and before 11.2.202.442 on Linux allows attackers to execute arbitrary code via unspecified vectors, a different vulnerability than CVE-2015-0313, CVE-2015-0315, and CVE-2015-0320."
