CVE-ID,ZDI Published Date,Severity Score,Description
CVE-2015-8416,2016-06-03,6.8,thi vulner allow remot attack execut arbitrari code vulner instal adob flash user interact requir exploit vulner target must visit malici page open malici file.th specif flaw exist within textblock object By call releaselinecreationdata method textblock object attack forc dangl pointer reus freed An attack leverag vulner execut arbitrari code context current process
CVE-2015-8823,2016-04-15,6.8,thi vulner allow remot attack execut arbitrari code vulner instal adob flash user interact requir exploit vulner target must visit malici page open malici file.th specif flaw exist within textfield object By manipul text properti textfield attack forc dangl pointer reus freed An attack leverag vulner execut arbitrari code context current process
CVE-2015-8822,2016-03-02,6.8,thi vulner allow remot attack execut arbitrari code vulner instal adob flash user interact requir exploit vulner target must visit malici page open malici file.th specif flaw exist within mpeg-4 pars A special craft mp4 file forc dangl pointer reus freed An attack leverag vulner execut arbitrari code context current process
CVE-2015-8821,2016-03-02,6.8,thi vulner allow remot attack execut arbitrari code vulner instal adob flash user interact requir exploit vulner target must visit malici page open malici file.th specif flaw exist within mpeg-4 pars A special craft mp4 file forc dangl pointer reus freed An attack leverag vulner execut arbitrari code context current process
CVE-2015-8658,2016-03-02,6.8,thi vulner allow remot attack execut arbitrari code vulner instal adob flash user interact requir exploit vulner target must visit malici page open malici file.th specif flaw exist within mpeg-4 pars A special craft mp4 file forc derefer uniniti pointer An attack leverag vulner execut arbitrari code context current process
CVE-2015-8820,2016-03-02,6.8,thi vulner allow remot attack execut arbitrari code vulner instal adob flash user interact requir exploit vulner target must visit malici page open malici file.th specif flaw exist within mpeg-4 pars A special craft mp4 file forc adob flash read memori past end alloc object An attack could leverag vulner execut code context current process
CVE-2015-8657,2016-03-02,6.8,thi vulner allow remot attack execut arbitrari code vulner instal adob flash user interact requir exploit vulner target must visit malici page open malici file.th specif flaw exist within mpeg-4 pars A special craft mp4 file forc adob flash read memori past end alloc object An attack could leverag vulner execut code context current process
CVE-2015-8656,2016-03-02,6.8,thi vulner allow remot attack execut arbitrari code vulner instal adob flash user interact requir exploit vulner target must visit malici page open malici file.th specif flaw exist within mpeg-4 pars A special craft mp4 file forc adob flash read memori past end alloc object An attack could leverag vulner execut code context current process
CVE-2015-8654,2016-03-02,6.8,thi vulner allow remot attack execut arbitrari code vulner instal adob flash user interact requir exploit vulner target must visit malici page open malici file.th specif flaw exist within mpeg-4 pars A special craft mp4 file forc adob flash read memori past end alloc object An attack could leverag vulner execut code context current process
CVE-2015-8653,2016-03-02,6.8,thi vulner allow remot attack execut arbitrari code vulner instal adob flash user interact requir exploit vulner target must visit malici page open malici file.th specif flaw exist within mpeg-4 pars A special craft mp4 file forc dangl pointer reus freed An attack leverag vulner execut arbitrari code context current process
CVE-2015-8652,2016-03-02,6.8,thi vulner allow remot attack execut arbitrari code vulner instal adob flash user interact requir exploit vulner target must visit malici page open malici file.th specif flaw exist within mpeg-4 pars A special craft mp4 file forc adob flash read memori past end alloc object An attack could leverag vulner execut code context current process
CVE-2015-8655,2016-03-02,6.8,thi vulner allow remot attack execut arbitrari code vulner instal adob flash user interact requir exploit vulner target must visit malici page open malici file.th specif flaw exist within mpeg-4 pars A special craft mp4 file forc dangl pointer reus freed An attack leverag vulner execut arbitrari code context current process
CVE-2015-6065,2016-03-02,6.8,thi vulner allow remot attack execut arbitrari code vulner instal microsoft internet explor user interact requir exploit vulner target must visit malici page open malici file.th vulner relat internet explor keep track font-fac rule css stylesheet By manipul document 's element attack forc cfontfac object memori reus freed An attack leverag vulner execut code context current process
CVE-2015-8649,2015-12-29,6.8,thi vulner allow remot attack execut arbitrari code vulner instal adob flash user interact requir exploit vulner target must visit malici page open malici file.th specif flaw exist within handl object.hasownproperti the issu lie failur safe hold refer argument execut function An attack leverag vulner execut arbitrari code context current process
CVE-2015-8648,2015-12-29,6.8,thi vulner allow remot attack execut arbitrari code vulner instal adob flash user interact requir exploit vulner target must visit malici page open malici file.th specif flaw exist within movieclip object By call setmask method movieclip object attack forc dangl pointer reus freed An attack leverag vulner execut arbitrari code context current process
CVE-2015-8650,2015-12-29,6.8,thi vulner allow remot attack execut arbitrari code vulner instal adob flash user interact requir exploit vulner target must visit malici page open malici file.th specif flaw exist within handl loadvars.decod the issu lie failur safe hold refer argument execut function An attack leverag vulner execut arbitrari code context current process
CVE-2015-8647,2015-12-29,6.8,thi vulner allow remot attack execut arbitrari code vulner instal adob flash user interact requir exploit vulner target must visit malici page open malici file.th specif flaw exist within handl movieclip object By call attachmovi method movieclip object attack forc dangl pointer reus freed An attack leverag vulner execut arbitrari code context current process
CVE-2015-8639,2015-12-29,6.8,thi vulner allow remot attack execut arbitrari code vulner instal adob flash user interact requir exploit vulner target must visit malici page open malici file.th specif flaw exist within movieclip object By call hittest method movieclip object attack forc dangl pointer reus freed An attack leverag vulner execut arbitrari code context current process
CVE-2015-8638,2015-12-29,6.8,thi vulner allow remot attack execut arbitrari code vulner instal adob flash user interact requir exploit vulner target must visit malici page open malici file.th specif flaw exist within movieclip object By call getbound method movieclip object attack forc dangl pointer reus freed An attack leverag vulner execut arbitrari code context current process
CVE-2015-6083,2015-12-23,6.8,thi vulner allow remot attack execut arbitrari code vulner instal microsoft internet explor user interact requir exploit vulner target must visit malici page open malici file.th specif flaw exist within usag ctablerow object By manipul document 's element attack caus ctablerow object memori reus freed An attack leverag vulner execut arbitrari code context current process
CVE-2015-4509,2015-12-18,6.8,thi vulner allow remot attack execut arbitrari code vulner instal mozilla firefox user interact requir exploit vulner target must visit malici page open malici file.th specif flaw exist within handl media object By manipul document 's element attack caus htmlvideoel object memori reus freed An attack leverag vulner execut arbitrari code context current process
CVE-2015-6159,2015-12-17,4.3,thi vulner allow remot attack leak sensit inform vulner instal microsoft internet explor user interact requir exploit vulner target must visit malici page open malici file.th specif flaw exist within handl dom chang text direct By manipul document 's element attack forc out-of-bound read An attack leverag vulner leak sensit inform context current process
CVE-2015-8843,2015-12-15,6.9,thi vulner allow local attack elev privileg vulner instal foxit reader authent requir exploit vulnerability.th specif flaw exist within foxitcloudupdateservic servic An attack trigger memori corrupt condit write certain data share memori region An attack leverag vulner execut code context system
CVE-2016-0035,2015-12-14,6.8,thi vulner allow remot attack execut arbitrari code vulner instal microsoft offic excel user interact requir exploit vulner target must visit malici page open malici file.th specif flaw exist within handl binari excel file .xlsb By provid malform file attack caus pointer re-us freed An attack could leverag execut arbitrari code context current user
CVE-2015-8581,2015-12-14,7.5,thi vulner allow remot attack execut arbitrari code vulner instal apach tome authent requir exploit vulnerability.th specif flaw exist within ejbobjectinputstream accept deseri java serial binari stream An attack leverag vulner execut arbitrari code context process
CVE-2015-8458,2015-12-14,6.8,thi vulner allow remot attack execut arbitrari code vulner instal adob reader DC user interact requir exploit vulner target must visit malici page open malici file.th specif flaw exist within agm.dll A special craft pdf multipl layer forc heap buffer overflow condit An attack leverag vulner execut arbitrari code context current process
CVE-2015-8457,2015-12-10,6.8,thi vulner allow remot attack execut arbitrari code vulner instal adob flash user interact requir exploit vulner target must visit malici page open malici file.th specif flaw exist within handl http live stream the issu lie failur valid size user-suppli buffer prior copi stack buffer An attack leverag vulner execut arbitrari code context current process
CVE-2015-7918,2015-12-08,6.8,thi vulner allow remot attack execut arbitrari code vulner instal schneider electr proclima user interact requir exploit vulner target must visit malici page open malici file.th specif flaw exist within implement settabbedtextex method f1bookview control memori corrupt occur long string pass user method An attack could leverag flaw execut code context process
CVE-2015-7918,2015-12-08,6.8,thi vulner allow remot attack execut arbitrari code vulner instal schneider electr proclima user interact requir exploit vulner target must visit malici page open malici file.th specif flaw exist within implement setvalidationrul method f1bookview control A buffer overrun occur long string pass user method An attack could leverag flaw execut code context process
CVE-2015-7918,2015-12-08,6.8,thi vulner allow remot attack execut arbitrari code vulner instal schneider electr proclima user interact requir exploit vulner target must visit malici page open malici file.th specif flaw exist within implement attach method f1bookview control A buffer overrun occur long string pass user method An attack could leverag flaw execut code context process
CVE-2015-7918,2015-12-08,6.8,thi vulner allow remot attack execut arbitrari code vulner instal schneider electr proclima user interact requir exploit vulner target must visit malici page open malici file.th specif flaw exist within implement objcreatepolygon method f1bookview control memori corrupt occur long string pass user either array paramet method An attack could leverag flaw execut code context process
CVE-2015-7918,2015-12-08,6.8,thi vulner allow remot attack execut arbitrari code vulner instal schneider electr proclima user interact requir exploit vulner target must visit malici page open malici file.th specif flaw exist within implement definednameloc method f1bookview control memori corrupt occur long user-suppli name suppli later process code jump address outsid normal flow An attack could leverag flaw execut code context process
CVE-2015-7918,2015-12-08,6.8,thi vulner allow remot attack execut arbitrari code vulner instal schneider electr proclima user interact requir exploit vulner target must visit malici page open malici file.th specif flaw exist within implement definednam method memori corrupt occur long user-suppli name suppli later process code jump address outsid normal flow An attack may abl leverag flaw execut code context process
CVE-2015-8561,2015-12-08,6.8,thi vulner allow remot attack execut arbitrari code vulner instal schneider electr proclima user interact requir exploit vulner target must visit malici page open malici file.th specif flaw exist within implement copyrangeex method f1bookview activex control the method accept integ valu interpret address structur memori An attack leverag vulner achiev code execut context process
CVE-2015-8561,2015-12-08,6.8,thi vulner allow remot attack execut arbitrari code vulner instal schneider electr proclima user interact requir exploit vulner target must visit malici page open malici file.th specif flaw exist within implement attachtoss method f1bookview activex control the method accept integ valu interpret address structur memori An attack leverag vulner achiev code execut context process
CVE-2015-8561,2015-12-08,6.8,thi vulner allow remot attack execut arbitrari code vulner instal schneider electr proclima user interact requir exploit vulner target must visit malici page open malici file.th specif flaw exist within implement copyrang swaptabl method f1bookview activex control the method accept integ valu interpret address structur memori An attack leverag vulner achiev code execut context process
CVE-2015-8561,2015-12-08,6.8,thi vulner allow remot attack execut arbitrari code vulner instal schneider electr proclima user interact requir exploit vulner target must visit malici page open malici file.th specif flaw exist within implement copyal method f1bookview activex control the method accept integ valu interpret address structur memori An attack leverag vulner achiev code execut context process
CVE-2015-7918,2015-12-08,6.8,thi vulner allow remot attack execut arbitrari code vulner instal schneider electr proclima user interact requir exploit vulner target must visit malici page open malici file.th specif flaw exist within implement odbcprepareex method f1bookview control A buffer overrun occur long string pass user method An attack could leverag flaw execut code context process
CVE-2015-7830,2015-12-08,6.8,thi vulner allow remot attack execut arbitrari code vulner instal wireshark user interact requir exploit vulner target must visit malici page open malici file.th specif flaw exist within handl pcapng file the issu lie handl if_filt section within next-gener pcap file An attack leverag vulner execut arbitrari code context current process
CVE-2015-8580,2015-12-08,6.8,thi vulner allow remot attack execut arbitrari code vulner instal foxit phantompdf user interact requir exploit vulner target must visit malici page open malici file.th specif flaw exist within handl app object A special craft pdf document forc dangl pointer reus freed An attack leverag vulner execut arbitrari code context current process
